"term","estimate","std.error","conf.low","conf.high"
<<<<<<< Updated upstream
"(Intercept)",0.161186558150888,0.0606439743312811,0.0570507233122395,0.261845514951748
"wood_typering-porous",0.111111256715627,0.0819384989104737,-0.023660674056612,0.249621164361277
"wood_typediffuse-porous:climwinmean",0.00776589559555549,0.00237541058272901,0.00379862517672292,0.0117947875235425
"wood_typering-porous:climwinmean",0.00551761466598531,0.00208373763126149,0.00209170764775247,0.00900615901868857
=======
"(Intercept)",0.158915479745321,0.0609570323445219,0.0574533093975126,0.258285944031097
"wood_typering-porous",0.0835797453396514,0.0783463833635386,-0.0502281428353118,0.213091192466037
"wood_typediffuse-porous:climwinmean",0.00786931348024619,0.00231935224945231,0.00402487031444834,0.0117135272771831
"wood_typering-porous:climwinmean",0.00676133844900705,0.00199040260365028,0.00356137121849973,0.0100236428260985
>>>>>>> Stashed changes
