"coefficient","mean","sd","2.5%","97.5%"
"y1|(Intercept)",176.057108431697,5.83934851709179,164.707426170637,187.499037838433
"y1|wood_typering-porous",-31.6592938031221,6.04360096634938,-43.4724951353078,-19.9566114004537
"y1|wood_typediffuse-porous:climwinmean",-1.09537301298849,0.304929901412234,-1.68447739725057,-0.500228687243247
"y1|wood_typering-porous:climwinmean",-1.36238199818857,0.127713962168026,-1.61414373528079,-1.11411131324229
"y2|(Intercept)",200.297129058893,6.10436379171819,188.525800719634,212.269369639125
"y2|wood_typering-porous",-39.5235558693768,6.37036557504012,-52.3237617850563,-27.1499392924671
"y2|wood_typediffuse-porous:climwinmean",-1.46681182216913,0.315591702761085,-2.0918305941743,-0.851633689232941
"y2|wood_typering-porous:climwinmean",-0.558343580501037,0.135110106540968,-0.821667512803733,-0.293038615421753
"y3|(Intercept)",222.63635833615,8.59343433793603,205.939095310619,239.570634953167
"y3|wood_typering-porous",-46.1471927403369,8.95005108627091,-63.8534756630246,-28.5143654387868
"y3|wood_typediffuse-porous:climwinmean",-1.71226595101528,0.44572909980173,-2.58237467069764,-0.833033208931854
"y3|wood_typering-porous:climwinmean",0.592435789198869,0.187258570362244,0.223001443866501,0.955052693327598
