"term","estimate","std.error","conf.low","conf.high"
<<<<<<< Updated upstream
"(Intercept)",255.85591683581,5.50070089900354,246.933309970999,264.872840816466
"wood_typering-porous",-86.0164121806908,7.70374542665656,-98.6577023733525,-73.8880526094355
"wood_typediffuse-porous:climwinmean",-3.84989565271373,0.283513419359364,-4.30395598377569,-3.39948557717188
"wood_typering-porous:climwinmean",-0.663127986212952,0.282338734004781,-1.12443145153439,-0.196410133003599
=======
"(Intercept)",254.460049200109,5.35762674617246,245.508392206178,263.58712872637
"wood_typering-porous",-84.2622933053413,7.6482202123056,-97.1016480649284,-71.673556406384
"wood_typediffuse-porous:climwinmean",-3.76684228339783,0.273972839445767,-4.22686806820208,-3.3050431636387
"wood_typering-porous:climwinmean",-0.670074352846021,0.288973006706403,-1.1594584934618,-0.187572650137577
>>>>>>> Stashed changes
