"term","estimate","std.error","conf.low","conf.high"
<<<<<<< Updated upstream
"(Intercept)",10.94653447366,6.38255189102471,0.799199158491842,21.1757339078422
"wood_typering-porous",81.8056495346751,8.858017187624,67.3565123214006,96.1122880825886
"wood_typediffuse-porous:climwinmean",1.23185672556284,0.329082220249171,0.702944395329229,1.757242915858
"wood_typering-porous:climwinmean",-2.17951253494882,0.338277156891275,-2.73144112209596,-1.62012062108534
=======
"(Intercept)",13.6353055958173,6.19230371415275,3.41809662564125,23.8606677212906
"wood_typering-porous",77.4176317948286,9.014036399499,62.593614820584,92.5896670452904
"wood_typediffuse-porous:climwinmean",1.0971078415817,0.322865226399864,0.564054821365019,1.63567066823057
"wood_typering-porous:climwinmean",-2.09401827073281,0.338006015745611,-2.65296007764092,-1.53342681005915
>>>>>>> Stashed changes
