"coefficient","mean","sd","2.5%","97.5%"
"y1|(Intercept)",192.605246255429,3.94862926012567,184.771835915644,200.273068193048
"y1|wood_typering-porous",-51.6216005841563,6.06310487836932,-63.5272858412265,-39.8479628104615
"y1|wood_typediffuse-porous:climwinmean",-2.18801485252342,0.296205135806383,-2.77106574605346,-1.59809797278529
"y1|wood_typering-porous:climwinmean",-0.724387618455998,0.352727059188183,-1.4114064376842,-0.0188325533937189
"y2|(Intercept)",201.508434679454,3.35458121262232,194.902014027402,208.139666106205
"y2|wood_typering-porous",-28.1821519921808,5.20924015877121,-38.5425202169063,-17.9824109423912
"y2|wood_typediffuse-porous:climwinmean",-1.51286695063081,0.247287877934191,-1.99689811145368,-1.03340528627968
"y2|wood_typering-porous:climwinmean",-1.13582047523569,0.303307908272008,-1.72695150132561,-0.532901889157923
"y3|(Intercept)",210.445439985784,3.72544233452138,203.205923780265,217.723709622872
"y3|wood_typering-porous",-5.04245827816689,5.8717640419666,-16.5830702526034,6.65166993380421
"y3|wood_typediffuse-porous:climwinmean",-0.842733594766226,0.278652436615357,-1.39136226876353,-0.303950516260283
"y3|wood_typering-porous:climwinmean",-1.51566183611928,0.341255964891674,-2.19216393524953,-0.853318426868001
