"term","estimate","std.error","conf.low","conf.high"
<<<<<<< Updated upstream
"(Intercept)",0.0927996763848581,0.0114233457460436,0.0740532304636826,0.111423939136635
"wood_typering-porous",0.50520635393838,0.0611159389629162,0.404552918735361,0.607181624593979
"wood_typediffuse-porous:climwinmean",0.00253752901254631,0.000412901205864292,0.00187537143952139,0.00322568658068757
"wood_typering-porous:climwinmean",-0.0266471712266355,0.00458885892422292,-0.0342496859383227,-0.0191861873402993
=======
"(Intercept)",0.207244406110647,0.0211808340059417,0.171230822898165,0.242816741798288
"wood_typering-porous",0.390756462681111,0.0635160658446543,0.285715419369168,0.495921311489698
"wood_typediffuse-porous:climwinmean",-0.00329214028355624,0.00100620832270467,-0.00495976460827122,-0.00160767156698662
"wood_typering-porous:climwinmean",-0.0266956890247927,0.00457640509411926,-0.0341192574154843,-0.0191535225101089
>>>>>>> Stashed changes
