"term","estimate","std.error","conf.low","conf.high"
"(Intercept)",0.00190959230590585,0.000169523079101187,0.00162381630316508,0.00218811440288136
"wood_typering-porous",0.000437068778283069,0.000255455492530425,6.55151059649356e-06,0.000862020255207285
"wood_typediffuse-porous:climwinmean",5.83019872033528e-05,2.26407676059353e-05,2.13485917689194e-05,9.56254867073582e-05
"wood_typering-porous:climwinmean",0.000115475528523542,2.91065811770524e-05,6.84795944441077e-05,0.00016284219353798
