"coefficient","mean","sd","2.5%","97.5%"
"y1|(Intercept)",167.656879032996,2.13569598308402,163.413182932768,171.804582406776
"y1|wood_typering-porous",-30.5011286396977,3.34165302554888,-37.1208997676971,-24.0295125726575
"y1|wood_typediffuse-porous:climwinmean",-0.506758951543345,0.331890460048295,-1.15087314761381,0.150464684068112
"y1|wood_typering-porous:climwinmean",-0.97830166508771,0.424295779588613,-1.81683880102849,-0.142664165201331
"y2|(Intercept)",190.965632542945,1.79923814480092,187.420199883787,194.457869731854
"y2|wood_typering-porous",-19.637331843326,2.7990998178052,-25.2421501405931,-14.1862532408665
"y2|wood_typediffuse-porous:climwinmean",-1.49276709151094,0.272724498268108,-2.02280465232391,-0.959001745688636
"y2|wood_typering-porous:climwinmean",-2.22096135346231,0.348530832395814,-2.90072539521074,-1.54582565784614
"y3|(Intercept)",214.290653111445,1.94075982349434,210.521796727474,218.105325712019
"y3|wood_typering-porous",-8.42367908790143,3.06038282300947,-14.4002464379812,-2.48937955454645
"y3|wood_typediffuse-porous:climwinmean",-2.49060726424033,0.298866650648076,-3.08169773422554,-1.91455434295301
"y3|wood_typering-porous:climwinmean",-3.50481826384087,0.376548307650104,-4.25607391215635,-2.77713981513901
