"term","estimate","std.error","conf.low","conf.high"
<<<<<<< Updated upstream
"(Intercept)",0.00352740959737386,0.00046912389448566,0.00275434109065564,0.00429777562824102
"wood_typering-porous",-0.00287602448566064,0.000681235248173489,-0.00395978993548846,-0.00176888985435105
"wood_typediffuse-porous:climwinmean",-5.28944425671475e-05,2.37169421650168e-05,-9.29010043154172e-05,-1.36776736165217e-05
"wood_typering-porous:climwinmean",0.000120955965302479,2.52091936131753e-05,8.00308103055191e-05,0.00016187155510366
=======
"(Intercept)",0.0033724936383262,0.000468359736181029,0.00260798021288527,0.00412819533157286
"wood_typering-porous",-0.00260454262407938,0.000670639579384148,-0.0037175231240662,-0.00149666232048776
"wood_typediffuse-porous:climwinmean",-4.6001746668124e-05,2.3664312180237e-05,-8.44892126374305e-05,-7.58215886957998e-06
"wood_typering-porous:climwinmean",0.000114711662133157,2.46693564208492e-05,7.41911658809986e-05,0.000155353251016654
>>>>>>> Stashed changes
