"term","estimate","std.error","conf.low","conf.high"
<<<<<<< Updated upstream
"(Intercept)",185.783442828398,2.50592678036414,181.644770054393,189.894938260203
"wood_typering-porous",-60.3268807548791,16.2720990807626,-86.7461487438582,-35.0051889499255
"wood_typediffuse-porous:climwinmean",-0.170048138555835,0.116301485615415,-0.36122699184405,0.0214217675588947
"wood_typering-porous:climwinmean",2.42941236689052,1.22192478303344,0.488503066334919,4.43795049930406
=======
"(Intercept)",228.258494473123,5.53688354948555,219.174380157313,237.309486425526
"wood_typering-porous",-97.9088447920127,16.6886069792041,-126.064386694315,-69.792264504545
"wood_typediffuse-porous:climwinmean",-2.29899658320698,0.269928696896151,-2.74636348142778,-1.85411256748384
"wood_typering-porous:climwinmean",2.07423078418648,1.22443913490865,0.0410833305968552,4.10813880384018
>>>>>>> Stashed changes
