"term","estimate","std.error","conf.low","conf.high"
<<<<<<< Updated upstream
"(Intercept)",0.00183871209308116,0.000197680256347425,0.00151206857592198,0.00216768186041057
"wood_typering-porous",0.00443987755122656,0.00126384197093282,0.00238100180238798,0.00650543249134951
"wood_typediffuse-porous:climwinmean",3.5190600472222e-05,8.7245356924904e-06,2.06881333146311e-05,4.93672474643405e-05
"wood_typering-porous:climwinmean",-0.000256206545665093,9.55665000570639e-05,-0.000412758705046424,-0.000101525090015713
=======
"(Intercept)",0.00664848027167403,0.000416486341892697,0.00595815361318695,0.00736710756744544
"wood_typering-porous",0.000140912745660621,0.00127850886531471,-0.00188742082736137,0.00221114913470131
"wood_typediffuse-porous:climwinmean",-0.000210290443741241,2.06122113756101e-05,-0.000244272206065004,-0.000176360878848374
"wood_typering-porous:climwinmean",-0.00029576452134987,9.15856695102138e-05,-0.000446547810263486,-0.000148971971015181
>>>>>>> Stashed changes
