"coefficient","mean","sd","2.5%","97.5%"
"y1|(Intercept)",215.238557187694,6.11233100980488,203.323187026883,226.862256259113
"y1|wood_typering-porous",-63.6368582991341,8.01310395655891,-78.9204966824582,-47.7565555619984
"y1|wood_typediffuse-porous:climwinmean",-3.95057505242366,0.471551036678015,-4.87582732868787,-3.02493337139678
"y1|wood_typering-porous:climwinmean",-1.41653876218367,0.378505722715063,-2.15046878457035,-0.666865179277221
"y2|(Intercept)",222.584199471351,5.02488523565663,212.49302871039,232.315376447542
"y2|wood_typering-porous",-26.1102757689538,6.77346220121069,-39.2636516846222,-13.0200972608562
"y2|wood_typediffuse-porous:climwinmean",-3.14168041959762,0.384355936516924,-3.89227885113087,-2.3850218560341
"y2|wood_typering-porous:climwinmean",-2.66750204965825,0.311110184454298,-3.30237532085505,-2.05234173451706
"y3|(Intercept)",229.826941702459,5.67250565286943,218.805511338913,241.007526881639
"y3|wood_typering-porous",11.3184275405744,7.87358697715166,-3.99269876515708,26.7291721518989
"y3|wood_typediffuse-porous:climwinmean",-2.32836339311419,0.436542021374396,-3.19778888224662,-1.479476400098
"y3|wood_typering-porous:climwinmean",-3.89391645618458,0.37153791049959,-4.60179372784501,-3.15848675502507
