"Year","Curtis_QURU"
1901,0.887
1902,1.143
1903,1.092
1904,1.101
1905,0.9
1906,1.02
1907,0.808
1908,1.183
1909,0.855
1910,0.889
1911,1.006
1912,0.951
1913,0.885
1914,0.923
1915,1.113
1916,1.016
1917,0.882
1918,0.918
1919,0.974
1920,0.979
1921,0.926
1922,0.878
1923,0.991
1924,1.089
1925,1.235
1926,1.051
1927,1.179
1928,1.227
1929,1.019
1930,1.053
1931,1.136
1932,1.166
1933,0.893
1934,1.002
1935,1.179
1936,0.767
1937,1.041
1938,0.738
1939,0.929
1940,1.156
1941,0.919
1942,1.258
1943,1.121
1944,1.122
1945,0.903
1946,1.08
1947,1.166
1948,0.976
1949,0.73
1950,1.093
1951,1.028
1952,1.036
1953,1.028
1954,1.023
1955,0.869
1956,0.952
1957,1.112
1958,1.113
1959,0.928
1960,0.921
1961,1.122
1962,0.777
1963,0.932
1964,0.977
1965,0.834
1966,0.936
1967,0.959
1968,1.054
1969,1.068
1970,0.932
1971,0.875
1972,0.976
1973,0.929
1974,1.069
1975,1.215
1976,0.951
1977,1.115
1978,0.942
1979,1.162
1980,1.143
1981,0.856
1982,1.068
1983,0.854
1984,0.943
1985,1.066
1986,0.941
1987,0.889
1988,0.819
1989,1.097
1990,0.937
1991,0.966
1992,0.94
1993,1.062
1994,1.015
1995,1.028
1996,1.113
1997,0.885
1998,1.158
1999,1.014
2000,1.046
2001,1.026
2002,0.939
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
