"Year","Warren_QURU"
1901,0.599
1902,0.872
1903,1.217
1904,1.093
1905,0.99
1906,1.033
1907,0.872
1908,0.989
1909,0.804
1910,0.836
1911,1.159
1912,0.976
1913,0.937
1914,1.043
1915,1.235
1916,1.018
1917,1.054
1918,1.008
1919,1.082
1920,1.099
1921,0.976
1922,1.175
1923,0.949
1924,1.104
1925,1.098
1926,1.007
1927,1.12
1928,1.036
1929,1.05
1930,1.108
1931,1.179
1932,1.117
1933,0.818
1934,1.083
1935,1.184
1936,0.529
1937,0.895
1938,0.905
1939,1.063
1940,1.041
1941,0.842
1942,0.928
1943,1.05
1944,1.158
1945,0.955
1946,0.996
1947,1.21
1948,0.958
1949,0.865
1950,1.125
1951,1.074
1952,0.795
1953,0.977
1954,0.976
1955,0.849
1956,1.095
1957,0.967
1958,1.257
1959,0.9
1960,0.904
1961,1.099
1962,0.978
1963,1.023
1964,1.125
1965,0.859
1966,0.94
1967,0.972
1968,1.063
1969,0.812
1970,0.899
1971,1.054
1972,1.075
1973,0.857
1974,0.889
1975,1.173
1976,0.984
1977,1.158
1978,1.108
1979,1.087
1980,1.132
1981,0.957
1982,1.139
1983,0.734
1984,0.926
1985,1.076
1986,0.725
1987,0.878
1988,0.957
1989,1.047
1990,0.998
1991,0.89
1992,1.007
1993,1.004
1994,1.004
1995,1.022
1996,0.994
1997,0.998
1998,1.118
1999,1.074
2000,1.057
2001,1.054
2002,1.017
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
