"Year","MontPl_QUMO"
1901,0.802
1902,1.24
1903,0.985
1904,0.96
1905,1.088
1906,1.273
1907,1.08
1908,0.89
1909,0.955
1910,0.866
1911,0.979
1912,0.887
1913,0.828
1914,1.086
1915,0.962
1916,0.776
1917,1.253
1918,0.713
1919,1.134
1920,0.797
1921,0.875
1922,1.48
1923,1.096
1924,1.089
1925,0.983
1926,0.964
1927,0.964
1928,0.926
1929,0.942
1930,0.893
1931,1.005
1932,1.142
1933,1.158
1934,0.952
1935,1.084
1936,1.419
1937,1.349
1938,0.784
1939,1.196
1940,0.866
1941,0.914
1942,1.084
1943,0.795
1944,1.241
1945,1.021
1946,0.695
1947,0.778
1948,0.91
1949,0.944
1950,0.921
1951,0.828
1952,1.139
1953,0.932
1954,0.975
1955,0.956
1956,1.129
1957,1.263
1958,0.758
1959,0.993
1960,0.855
1961,0.828
1962,1.364
1963,0.643
1964,1.276
1965,0.775
1966,0.832
1967,0.591
1968,0.944
1969,0.808
1970,0.959
1971,0.703
1972,1.04
1973,1.33
1974,0.785
1975,1.062
1976,1.614
1977,1.657
1978,0.641
1979,1.147
1980,0.667
1981,0.904
1982,0.913
1983,1.118
1984,0.972
1985,1.194
1986,0.834
1987,0.889
1988,0.764
1989,1.041
1990,0.634
1991,0.982
1992,1.272
1993,1.228
1994,0.869
1995,1.031
1996,0.972
1997,0.976
1998,0.844
1999,1.019
2000,0.718
2001,0.962
2002,1.583
2003,1.141
2004,1.256
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
