"Year","NC_Sho_QURU"
1901,0.94
1902,1.127
1903,1.048
1904,0.828
1905,0.868
1906,0.936
1907,1.07
1908,1.016
1909,0.967
1910,1.008
1911,0.838
1912,1.201
1913,1.042
1914,0.859
1915,1.085
1916,1.065
1917,0.977
1918,0.911
1919,1.038
1920,0.937
1921,1.084
1922,1.032
1923,1.087
1924,0.991
1925,0.73
1926,0.793
1927,1.014
1928,0.905
1929,0.904
1930,0.945
1931,0.915
1932,1.027
1933,0.879
1934,1.043
1935,1.062
1936,0.81
1937,1.26
1938,0.905
1939,0.932
1940,1.054
1941,1.086
1942,1.103
1943,1.199
1944,0.903
1945,1.002
1946,0.996
1947,1.197
1948,1.113
1949,1.062
1950,1.122
1951,1.291
1952,0.908
1953,0.952
1954,0.856
1955,0.895
1956,1.106
1957,0.972
1958,0.933
1959,1.065
1960,1.097
1961,0.692
1962,1.091
1963,0.904
1964,1.081
1965,1.125
1966,0.859
1967,1.094
1968,1.183
1969,1.12
1970,1.193
1971,1.063
1972,1.042
1973,1.04
1974,1.087
1975,1.065
1976,0.713
1977,1.041
1978,1.022
1979,0.652
1980,0.903
1981,0.922
1982,1.109
1983,0.881
1984,0.809
1985,1.014
1986,1.024
1987,1.095
1988,0.938
1989,0.946
1990,0.954
1991,1.006
1992,1.027
1993,0.994
1994,1.052
1995,1.116
1996,1.012
1997,0.937
1998,0.896
1999,1.052
2000,1.078
2001,0.974
2002,1.002
2003,0.882
2004,1.009
2005,0.923
2006,1.089
2007,0.989
2008,0.99
2009,0.942
2010,1.069
2011,1.148
2012,0.935
2013,1.128
2014,1.068
2015,0.999
2016,1.052
2017,0.983
2018,0.769
2019,NA
