"Year","Mohonk_QUVE"
1901,0.85
1902,0.979
1903,0.871
1904,1.141
1905,0.892
1906,1.269
1907,0.894
1908,0.991
1909,0.884
1910,0.965
1911,0.849
1912,0.962
1913,0.756
1914,1.05
1915,1.17
1916,1.259
1917,1.058
1918,1.001
1919,1.046
1920,1.403
1921,0.946
1922,1.065
1923,0.835
1924,1.078
1925,1.093
1926,1.032
1927,1.04
1928,1.022
1929,1.016
1930,1.007
1931,1.023
1932,1.025
1933,0.775
1934,1.072
1935,1.03
1936,0.911
1937,1.126
1938,1.153
1939,0.878
1940,0.898
1941,1.047
1942,1.023
1943,1.036
1944,1.06
1945,0.956
1946,1.041
1947,1.188
1948,0.974
1949,0.954
1950,1.088
1951,1.07
1952,0.889
1953,0.948
1954,0.979
1955,1.08
1956,0.896
1957,0.974
1958,1.02
1959,0.945
1960,1.003
1961,0.987
1962,0.833
1963,0.988
1964,0.93
1965,0.764
1966,0.861
1967,0.903
1968,1.051
1969,1.015
1970,0.992
1971,1.101
1972,1.064
1973,0.809
1974,1.066
1975,1.188
1976,1.05
1977,0.921
1978,0.89
1979,1.068
1980,0.902
1981,0.67
1982,1.106
1983,0.983
1984,0.987
1985,1.024
1986,0.986
1987,1.085
1988,0.83
1989,1.117
1990,1.102
1991,0.839
1992,1.178
1993,1.071
1994,1.027
1995,1.022
1996,1.059
1997,0.994
1998,1.002
1999,0.903
2000,1.178
2001,1.104
2002,0.912
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
