"Year","IA_Geo_QUAL"
1901,0.812
1902,1.046
1903,1.115
1904,1.266
1905,1.059
1906,0.792
1907,1.313
1908,1.113
1909,0.965
1910,0.65
1911,0.726
1912,1.14
1913,0.834
1914,0.64
1915,1.263
1916,1.007
1917,0.954
1918,0.774
1919,0.874
1920,0.942
1921,0.888
1922,0.97
1923,0.852
1924,1.25
1925,0.972
1926,0.941
1927,1.049
1928,1.177
1929,0.984
1930,1.014
1931,0.878
1932,1.237
1933,1.05
1934,0.652
1935,1.323
1936,0.796
1937,1.033
1938,1.002
1939,1.013
1940,0.672
1941,1.233
1942,1.215
1943,1.013
1944,1.003
1945,1.189
1946,0.982
1947,1.173
1948,0.916
1949,1.107
1950,1.025
1951,1.136
1952,1.003
1953,0.988
1954,0.779
1955,1.124
1956,0.745
1957,1.06
1958,1.148
1959,1.022
1960,1.003
1961,0.917
1962,1.09
1963,0.845
1964,1.041
1965,1.1
1966,1.023
1967,1.002
1968,0.978
1969,1.083
1970,0.967
1971,0.878
1972,1.03
1973,1.071
1974,1.04
1975,0.982
1976,0.941
1977,0.727
1978,1.061
1979,0.994
1980,0.932
1981,1.13
1982,1.138
1983,0.941
1984,0.885
1985,0.938
1986,0.949
1987,0.857
1988,0.608
1989,0.782
1990,1.1
1991,0.829
1992,1.038
1993,1.213
1994,0.992
1995,1.126
1996,0.963
1997,1.043
1998,0.991
1999,1.149
2000,1.092
2001,1.144
2002,0.978
2003,1.016
2004,1.134
2005,0.956
2006,0.851
2007,1.059
2008,1.212
2009,0.954
2010,1.05
2011,1.011
2012,0.821
2013,1.179
2014,0.723
2015,1.155
2016,0.928
2017,1.029
2018,0.875
2019,NA
