"Year","IN_Ben_ACSA"
1901,0.924
1902,1.314
1903,1.116
1904,1.216
1905,1.131
1906,1.126
1907,1.069
1908,1.022
1909,1.145
1910,0.922
1911,0.783
1912,1.587
1913,0.859
1914,1.012
1915,1.212
1916,0.781
1917,0.985
1918,0.969
1919,0.741
1920,1.008
1921,0.839
1922,1.263
1923,0.833
1924,1.081
1925,0.602
1926,0.987
1927,1.092
1928,1.14
1929,0.879
1930,0.896
1931,0.864
1932,1.072
1933,0.88
1934,0.906
1935,1.047
1936,0.786
1937,1.412
1938,1.347
1939,1.376
1940,0.852
1941,1.215
1942,1.305
1943,1.091
1944,0.809
1945,1.048
1946,0.794
1947,0.772
1948,1.177
1949,1.072
1950,1.313
1951,0.978
1952,0.964
1953,0.779
1954,0.9
1955,1.371
1956,0.912
1957,0.845
1958,1.124
1959,0.855
1960,1.051
1961,1.163
1962,0.91
1963,0.895
1964,1.065
1965,0.715
1966,0.664
1967,0.851
1968,0.967
1969,0.985
1970,0.946
1971,0.812
1972,1.017
1973,0.864
1974,0.907
1975,1.238
1976,1.022
1977,0.823
1978,0.94
1979,0.897
1980,0.977
1981,1.073
1982,1.429
1983,0.817
1984,0.721
1985,1.366
1986,1.25
1987,1.058
1988,0.516
1989,1.323
1990,1.284
1991,0.946
1992,1.262
1993,1.25
1994,1.385
1995,1.26
1996,0.603
1997,0.873
1998,1.091
1999,0.832
2000,0.904
2001,1.09
2002,0.683
2003,0.946
2004,1.056
2005,1.001
2006,1.072
2007,0.927
2008,1.097
2009,1.066
2010,1.148
2011,0.643
2012,0.715
2013,1.156
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
