"Year","BlueBe._QURU"
1901,0.524
1902,1.549
1903,0.776
1904,0.734
1905,0.937
1906,2.116
1907,1.58
1908,0.973
1909,1.241
1910,0.133
1911,0.889
1912,1.229
1913,0.423
1914,0.767
1915,0.361
1916,1.776
1917,1.243
1918,0.566
1919,1.192
1920,-0.038
1921,0.89
1922,1.714
1923,0.713
1924,1.06
1925,0.833
1926,1.871
1927,1.473
1928,0.69
1929,1.08
1930,0.092
1931,0.696
1932,1.317
1933,0.844
1934,0.452
1935,1.139
1936,1.531
1937,1.802
1938,0.545
1939,1.363
1940,0.163
1941,0.878
1942,1.647
1943,0.948
1944,0.852
1945,1.012
1946,1.904
1947,1.758
1948,0.77
1949,1.25
1950,0.156
1951,0.885
1952,1.984
1953,0.867
1954,1.11
1955,1.094
1956,1.877
1957,2.002
1958,0.55
1959,1.562
1960,0.155
1961,0.921
1962,1.571
1963,0.109
1964,1.304
1965,0.125
1966,2.076
1967,0.708
1968,1.021
1969,0.545
1970,0.367
1971,0.327
1972,1.156
1973,0.788
1974,0.42
1975,0.827
1976,1.206
1977,1.699
1978,0.339
1979,1.372
1980,0.022
1981,0.775
1982,1.202
1983,0.781
1984,0.56
1985,0.861
1986,1.618
1987,1.512
1988,0.709
1989,1.146
1990,0.097
1991,0.833
1992,1.873
1993,1.206
1994,0.787
1995,1.432
1996,1.749
1997,1.797
1998,0.839
1999,1.13
2000,0.252
2001,0.799
2002,1.577
2003,0.554
2004,0.888
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
