"wood_type","percs","refwoy","refmonth","refday","winopenwoy","winclosewoy","bestmodel_beta","median_windowopendate","median_windowclosedate"
"ring-porous",0.25,18,"05","05",4,4,-1.77099282704331,"2011-03-19","2011-04-09"
"ring-porous",0.5,22,"06","01",8,3,-3.26765322266505,"2011-04-09","2011-05-17"
"ring-porous",0.75,26,"06","29",11,6,-5.30642583951145,"2011-04-16","2011-05-17"
"diffuse-porous",0.25,22,"06","04",11,1,-4.54268519003709,"2011-03-19","2011-05-24"
"diffuse-porous",0.5,24,"06","21",13,0,-5.99450524569028,"2011-03-19","2011-06-14"
"diffuse-porous",0.75,27,"07","09",17,3,-5.32970352135931,"2011-03-19","2011-06-11"
