"wood_type","percs","refwoy","refmonth","refday","winopenwoy","winclosewoy","bestmodel_beta","median_windowopendate","median_windowclosedate"
"ring-porous",0.25,18,"05","05",4,4,-1.78337379154294,"2011-03-19","2011-04-09"
"ring-porous",0.5,22,"06","02",8,3,-2.95977902229276,"2011-04-09","2011-05-21"
"ring-porous",0.75,26,"06","30",11,6,-5.16695454067549,"2011-04-16","2011-05-17"
"diffuse-porous",0.25,22,"06","04",11,1,-4.54824625544605,"2011-03-19","2011-05-24"
"diffuse-porous",0.5,25,"06","22",13,0,-6.2038983478544,"2011-03-26","2011-06-25"
"diffuse-porous",0.75,27,"07","10",12,7,-3.22274784030416,"2011-04-02","2011-06-11"
