tmax_q5, tmax_q10, tmax_q50, tmax_q90, tmax_q95, tmin_q5, tmin_q10, tmin_q50, tmin_q90, tmin_q95, tavg_q5, tavg_q10, tavg_q50, tavg_q90, tavg_q95, prec_q5, prec_q10, prec_q50, prec_q90, prec_q95, prec_q99, HW_TN90, HW_TX90, HW_TAVG90
-4.42585145, -2.04121603333333, 6.0017375, 12.4259142606667, 12.844976223, -15.575273, -14.0991183333333, -2.8539875, 3.72335376666667, 4.3781833386, -10.449130975, -7.78754851666667, 1.61369125, 7.36660104613333, 7.777777779, NA, NA, NA, NA, NA, NA, 3.44627616666667, 14.1780313333333, 8.86722550166667
-4.78687365, -2.794648, 6.1122, 12.843253186, 16.2075375, -15.575273, -14.2192493333333, -2.8539875, 3.72335376666667, 4.3781833386, -10.449130975, -8.05435931666667, 1.61369125, 7.36660104613333, 9.95522332265, NA, NA, NA, NA, NA, NA, 3.27952273333333, 13.8376265186667, 7.95729315333334
-4.7343906, -2.718706, 6.134999, 12.9453576306667, 17.560064, -15.366086, -13.778936, -3.422439, 3.5613736, 5.13184219999999, -10.292547, -8.04232176666667, 1.20589, 7.45623871546666, 11.5315153, NA, NA, NA, NA, NA, NA, 2.79719256666667, 13.4963366666667, 7.77914459303333
-5.9475164, -2.642764, 5.555555556, 13.262225, 17.264103, -15.113366, -14.1187786666667, -3.900706, 2.91421136666667, 4.13248355, -10.2842615, -8.03028421666667, 0.315564749999998, 6.902686203, 10.1061581575, NA, NA, NA, NA, NA, NA, 2.7867967852, 13.2508526666667, 7.57619136666667
-7.590004, -5.006255, 3.888888889, 14.68071, 17.423115, -16.670685, -14.3707166666667, -5.95963, 2.77121566666667, 3.53128699999999, -11.61689, -9.884436, -0.555555555500001, 7.67838178333334, 10.61095275, NA, NA, NA, NA, NA, NA, 2.785830463, 13.0887616666667, 7.73749875
-7.5765398, -5.4568744, 4.1666666665, 17.1537573333333, 17.866932, -17.840851, -15.5352886666667, -5.9481865, 1.57264523333333, 2.91908715, -12.012589975, -10.6290872333333, -0.694444444500001, 9.07948906833333, 10.559278625, NA, NA, NA, NA, NA, NA, 3.05460533333333, 13.9461190373333, 7.777777779
-7.5630756, -5.3358958, 3.208164, 13.963188, 17.422674, -17.817712, -15.5126606666667, -5.95963, 0.416453806666666, 2.7728382, -11.9797142, -10.5132631333333, -0.833333333500004, 7.32461201333333, 9.9227882, NA, NA, NA, NA, NA, NA, 3.12636446666667, 14.80597, 8.46167427396664
-6.9204846, -5.1456842, 2.83586, 13.1275826666667, 17.422674, -17.817712, -15.5126606666667, -5.936743, 0.350129313333333, 1.1507994666, -11.9797142, -10.2529940333333, -1.82685295, 6.33466529933333, 9.23797101, NA, NA, NA, NA, NA, NA, 2.89270073333333, 14.67349, 8.35369061686665
-5.6585054, -4.99839646666667, 3.033084, 13.181455852, 16.298868, -17.817712, -15.27085, -4.548781, 1.3482732, 2.851783, -11.8599326, -9.81105683333333, -0.533430000000001, 6.36672133, 9.6588228, NA, NA, NA, NA, NA, NA, 2.77364946666667, 13.9227067043333, 7.38084581666665
-5.055689, -2.58673746666667, 4.515172, 15.6099906666667, 18.898612, -15.33597, -14.4739453333333, -3.638563, 3.0072578, 4.6866896, -9.8871995, -9.01833373333333, 1.3085746, 9.41021953333333, 11.33792, NA, NA, NA, NA, NA, NA, 2.811872, 14.32808, 8.12773611666665
-2.3006528002, -0.857321808133333, 5.555555556, 15.5659773333333, 17.462752, -12.551386, -8.90025477046667, -3.119061, 3.6134416, 6.8349688, -6.3655745, -4.20370370356667, 2.1827915, 9.41021953333333, 12.3038996, NA, NA, NA, NA, NA, NA, 2.8010168, 14.219735, 8.20002299833332
