"Year","BearIs_CAGL"
1901,1.069
1902,0.665
1903,1.18
1904,1.325
1905,1.166
1906,0.904
1907,1.08
1908,0.876
1909,0.995
1910,1.076
1911,0.554
1912,1.049
1913,0.924
1914,1.026
1915,1.181
1916,1.359
1917,1.284
1918,0.642
1919,1.153
1920,1.152
1921,1.069
1922,0.88
1923,0.974
1924,1.156
1925,0.772
1926,0.891
1927,1.174
1928,1.093
1929,1.05
1930,0.619
1931,0.552
1932,0.963
1933,0.722
1934,1.135
1935,1.081
1936,0.756
1937,1.33
1938,1.001
1939,0.946
1940,0.907
1941,1.109
1942,0.826
1943,1.14
1944,0.723
1945,1.327
1946,1.02
1947,1.059
1948,1.073
1949,1.087
1950,1.267
1951,1.14
1952,0.948
1953,1.128
1954,0.929
1955,0.755
1956,0.98
1957,1.025
1958,1.022
1959,0.933
1960,0.976
1961,1.081
1962,0.941
1963,0.962
1964,0.9
1965,0.781
1966,1.001
1967,0.842
1968,1.131
1969,0.932
1970,0.947
1971,1.036
1972,1.117
1973,1.084
1974,1.02
1975,0.927
1976,1.031
1977,0.942
1978,1.037
1979,0.95
1980,1.06
1981,0.908
1982,1
1983,1.242
1984,0.914
1985,0.968
1986,0.797
1987,0.842
1988,0.995
1989,0.912
1990,1.19
1991,0.825
1992,1.049
1993,1.122
1994,1.098
1995,1.058
1996,1.022
1997,1.05
1998,1.048
1999,0.686
2000,1.061
2001,1.201
2002,1.145
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
