"Year","MO_Bab_QUAL"
1901,0.723
1902,0.84
1903,0.978
1904,1.2
1905,0.954
1906,1.116
1907,1.228
1908,1.091
1909,1.108
1910,0.919
1911,0.831
1912,1.414
1913,0.793
1914,0.753
1915,1.318
1916,1.102
1917,0.905
1918,0.815
1919,1.111
1920,0.964
1921,0.941
1922,0.946
1923,1.037
1924,1.374
1925,0.925
1926,0.994
1927,1.178
1928,1.218
1929,0.96
1930,0.878
1931,0.88
1932,0.985
1933,0.802
1934,0.639
1935,1.275
1936,0.685
1937,1.054
1938,1.169
1939,0.98
1940,0.879
1941,0.851
1942,1.106
1943,0.888
1944,0.879
1945,1.047
1946,0.971
1947,1.088
1948,1.165
1949,1.156
1950,1.082
1951,1.298
1952,0.883
1953,0.929
1954,0.698
1955,1.069
1956,0.99
1957,1.093
1958,1.112
1959,0.826
1960,1.064
1961,1.058
1962,1.049
1963,1.018
1964,0.981
1965,0.838
1966,0.843
1967,1.032
1968,0.937
1969,1.001
1970,1.109
1971,0.982
1972,0.791
1973,1.239
1974,1.131
1975,1.004
1976,1.004
1977,0.859
1978,1.046
1979,0.868
1980,0.833
1981,1.243
1982,1.127
1983,0.872
1984,0.766
1985,1.136
1986,1
1987,1.007
1988,0.661
1989,1.081
1990,1.061
1991,1.034
1992,1.034
1993,1.129
1994,0.825
1995,0.953
1996,0.976
1997,0.947
1998,1.185
1999,1.184
2000,0.933
2001,1.097
2002,1.203
2003,0.989
2004,1.166
2005,0.905
2006,0.951
2007,0.799
2008,1.212
2009,1.058
2010,1.105
2011,0.992
2012,0.744
2013,1.096
2014,0.859
2015,0.966
2016,NA
2017,NA
2018,NA
2019,NA
