"Year","IN_Opp_QURU"
1901,0.673
1902,0.826
1903,1.018
1904,1.175
1905,1.069
1906,0.741
1907,0.844
1908,1.052
1909,0.914
1910,0.93
1911,0.843
1912,0.988
1913,0.887
1914,0.788
1915,1.212
1916,1.306
1917,1.121
1918,1.181
1919,0.93
1920,1.093
1921,1.191
1922,1.019
1923,1.224
1924,1.054
1925,1.109
1926,0.889
1927,1.089
1928,1.073
1929,1.21
1930,1.017
1931,1.013
1932,0.873
1933,0.979
1934,0.837
1935,0.671
1936,1.112
1937,0.663
1938,1.045
1939,1.074
1940,0.782
1941,0.984
1942,0.999
1943,1.067
1944,1.188
1945,0.819
1946,1.101
1947,0.897
1948,1.133
1949,0.903
1950,1.167
1951,1.043
1952,0.945
1953,0.881
1954,0.967
1955,0.998
1956,1.073
1957,1.01
1958,1.125
1959,1.043
1960,0.872
1961,1.204
1962,1.115
1963,0.868
1964,0.933
1965,1.07
1966,1.003
1967,0.88
1968,0.884
1969,1.183
1970,1.147
1971,0.965
1972,0.855
1973,0.937
1974,1.058
1975,0.947
1976,1.098
1977,0.803
1978,0.961
1979,1.189
1980,0.952
1981,1.035
1982,1.042
1983,1.31
1984,0.934
1985,0.783
1986,0.881
1987,1.271
1988,0.96
1989,0.866
1990,1
1991,0.908
1992,1.002
1993,1.066
1994,0.903
1995,0.896
1996,1.113
1997,0.985
1998,0.849
1999,1.157
2000,1.01
2001,1.088
2002,1.008
2003,0.892
2004,0.999
2005,1.218
2006,0.874
2007,1.012
2008,0.924
2009,1.138
2010,0.869
2011,0.955
2012,1.06
2013,0.719
2014,1.187
2015,1.068
2016,1.095
2017,NA
2018,NA
2019,NA
