"Year","Uttert_QURU"
1901,0.902
1902,1.122
1903,0.981
1904,1.305
1905,0.956
1906,1.252
1907,0.975
1908,1.008
1909,0.894
1910,0.873
1911,0.805
1912,0.846
1913,0.872
1914,1.054
1915,0.941
1916,1.01
1917,1.071
1918,0.969
1919,1.154
1920,1.322
1921,1.12
1922,1.048
1923,0.981
1924,1.158
1925,1.073
1926,0.849
1927,0.962
1928,1.102
1929,1.019
1930,1.112
1931,1.028
1932,0.988
1933,0.993
1934,0.917
1935,0.844
1936,0.811
1937,1.069
1938,1.159
1939,0.897
1940,0.779
1941,1.002
1942,1.061
1943,0.963
1944,0.915
1945,0.998
1946,1.006
1947,1.215
1948,1.006
1949,0.936
1950,1.043
1951,1.114
1952,1.053
1953,0.989
1954,0.882
1955,1.289
1956,0.909
1957,0.979
1958,1.278
1959,0.98
1960,1.037
1961,1.08
1962,0.849
1963,1.209
1964,1.055
1965,0.751
1966,0.768
1967,0.963
1968,0.687
1969,0.945
1970,0.62
1971,0.963
1972,1.101
1973,0.955
1974,1.189
1975,1.31
1976,0.962
1977,0.865
1978,1.169
1979,1.044
1980,1.009
1981,0.929
1982,1.117
1983,0.929
1984,0.909
1985,1.182
1986,1.037
1987,1.025
1988,0.926
1989,0.974
1990,0.999
1991,0.695
1992,1.142
1993,0.984
1994,1.1
1995,0.974
1996,1.007
1997,0.929
1998,1.145
1999,0.775
2000,1.188
2001,1.069
2002,0.954
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
