"Year","Wachus_QURU"
1901,0.823
1902,0.823
1903,0.964
1904,1.111
1905,1.049
1906,1.103
1907,1.079
1908,0.912
1909,0.925
1910,0.928
1911,0.927
1912,0.985
1913,0.872
1914,0.992
1915,0.988
1916,0.975
1917,1.222
1918,0.965
1919,1.201
1920,1.151
1921,1.053
1922,0.893
1923,0.979
1924,1.001
1925,1.11
1926,0.972
1927,1.039
1928,1.093
1929,1.006
1930,0.942
1931,1.179
1932,1.007
1933,0.969
1934,1.138
1935,1.019
1936,0.82
1937,1.118
1938,0.935
1939,0.983
1940,1.028
1941,1.002
1942,0.984
1943,0.922
1944,0.937
1945,0.895
1946,0.91
1947,1.092
1948,1.039
1949,0.865
1950,1.072
1951,0.968
1952,0.947
1953,0.986
1954,1.109
1955,1.035
1956,0.89
1957,1.026
1958,1.027
1959,0.862
1960,1.177
1961,1.178
1962,0.847
1963,1.079
1964,0.927
1965,1.005
1966,1.006
1967,1.14
1968,1.064
1969,0.925
1970,0.961
1971,1.105
1972,1.123
1973,0.854
1974,1.082
1975,1.16
1976,0.914
1977,0.972
1978,1.049
1979,1.093
1980,1.033
1981,0.638
1982,1.075
1983,0.915
1984,0.868
1985,1.045
1986,0.839
1987,1.197
1988,0.991
1989,1.113
1990,0.891
1991,1.016
1992,0.92
1993,0.967
1994,0.998
1995,1.029
1996,0.87
1997,0.788
1998,NA
1999,NA
2000,NA
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
