year	num	seg	age	raw	std	res	ars
   1904	   1.	 109.000	   1.000	   1.856	   1.053	   1.032	   1.035
   1905	   1.	 109.000	   2.000	   1.504	   0.910	   0.881	   0.887
   1906	   1.	 109.000	   3.000	   2.059	   1.138	   1.170	   1.152
   1907	   1.	 109.000	   4.000	   1.469	   0.894	   0.854	   0.880
   1908	   1.	 109.000	   5.000	   1.521	   0.911	   0.932	   0.913
   1909	   1.	 109.000	   6.000	   1.365	   0.853	   0.886	   0.872
   1910	   1.	 109.000	   7.000	   1.176	   0.790	   0.839	   0.817
   1911	   1.	 109.000	   8.000	   1.410	   0.865	   0.961	   0.932
   1912	   1.	 109.000	   9.000	   1.444	   0.875	   0.942	   0.931
   1913	   1.	 109.000	  10.000	   1.588	   0.925	   0.982	   0.972
   1914	   1.	 109.000	  11.000	   2.021	   1.100	   1.141	   1.137
   1915	   1.	 109.000	  12.000	   1.469	   0.878	   0.847	   0.870
   1916	   1.	 109.000	  13.000	   2.025	   1.098	   1.144	   1.123
   1917	   1.	 109.000	  14.000	   2.208	   1.180	   1.138	   1.159
   1918	   2.	 102.000	   8.000	   2.067	   0.972	   0.961	   0.989
   1919	   2.	 102.000	   9.000	   1.521	   0.737	   0.729	   0.725
   1920	   3.	  99.000	   7.000	   2.224	   0.993	   1.133	   1.088
   1921	   3.	  99.000	   8.000	   2.569	   0.954	   0.981	   0.997
   1922	   3.	  99.000	   9.000	   3.049	   1.485	   1.523	   1.513
   1923	   3.	  99.000	  10.000	   2.313	   0.969	   0.888	   0.976
   1924	   3.	  99.000	  11.000	   2.808	   1.075	   0.943	   0.940
   1925	   3.	  99.000	  12.000	   2.776	   1.256	   1.134	   1.124
   1926	   3.	  99.000	  13.000	   2.766	   1.172	   1.066	   1.087
   1927	   3.	  99.000	  14.000	   2.385	   0.962	   0.898	   0.913
   1928	   3.	  99.000	  15.000	   2.656	   1.200	   1.164	   1.149
   1929	   3.	  99.000	  16.000	   2.133	   0.894	   0.837	   0.863
   1930	   7.	  90.429	   7.857	   1.542	   0.496	   0.565	   0.533
   1931	  11.	  87.727	   6.000	   1.934	   0.561	   1.101	   1.026
   1932	  16.	  85.687	   5.125	   2.576	   1.071	   1.245	   1.247
   1933	  18.	  85.167	   5.556	   2.581	   1.277	   1.270	   1.309
   1934	  20.	  84.650	   6.000	   2.533	   1.206	   1.126	   1.178
   1935	  22.	  84.136	   6.455	   2.379	   1.146	   1.098	   1.128
   1936	  26.	  83.192	   6.462	   2.070	   0.639	   0.666	   0.685
   1937	  26.	  83.192	   7.462	   2.425	   1.146	   1.144	   1.093
   1938	  26.	  83.192	   8.462	   2.410	   1.214	   1.200	   1.215
   1939	  26.	  83.192	   9.462	   1.785	   0.550	   0.569	   0.598
   1940	  28.	  82.536	   9.786	   2.231	   1.132	   1.245	   1.178
   1941	  31.	  81.548	   9.839	   1.959	   0.828	   0.883	   0.914
   1942	  32.	  81.250	  10.531	   2.275	   1.476	   1.460	   1.438
   1943	  32.	  81.250	  11.531	   2.203	   1.361	   1.278	   1.348
   1944	  32.	  81.250	  12.531	   2.385	   1.631	   1.547	   1.593
   1945	  32.	  81.250	  13.531	   1.435	   0.504	   0.588	   0.686
   1946	  32.	  81.250	  14.531	   1.423	   0.533	   0.492	   0.425
   1947	  32.	  81.250	  15.531	   1.913	   1.065	   1.274	   1.181
   1948	  32.	  81.250	  16.531	   1.833	   1.029	   1.117	   1.148
   1949	  33.	  80.727	  17.030	   1.688	   0.757	   0.800	   0.824
   1950	  33.	  80.727	  18.030	   1.719	   0.859	   0.915	   0.887
   1951	  34.	  80.176	  18.500	   1.754	   0.942	   0.971	   0.953
   1952	  37.	  78.622	  18.000	   1.864	   1.145	   1.159	   1.151
   1953	  38.	  78.132	  18.526	   1.770	   1.130	   1.074	   1.100
   1954	  39.	  77.641	  19.051	   1.601	   0.833	   0.845	   0.862
   1955	  42.	  76.238	  18.690	   1.621	   1.047	   1.079	   1.057
   1956	  43.	  75.791	  19.256	   1.676	   1.163	   1.154	   1.163
   1957	  44.	  75.341	  19.818	   1.515	   0.988	   0.961	   0.989
   1958	  44.	  75.341	  20.818	   1.597	   1.088	   1.090	   1.089
   1959	  44.	  75.341	  21.818	   1.679	   1.253	   1.242	   1.255
   1960	  44.	  75.341	  22.818	   1.725	   1.337	   1.247	   1.287
   1961	  44.	  75.341	  23.818	   1.611	   1.244	   1.138	   1.186
   1962	  44.	  75.341	  24.818	   1.485	   1.016	   0.959	   0.991
   1963	  44.	  75.341	  25.818	   1.544	   1.152	   1.088	   1.087
   1964	  44.	  75.341	  26.818	   1.489	   1.110	   1.061	   1.077
   1965	  44.	  75.341	  27.818	   1.286	   0.850	   0.843	   0.856
   1966	  44.	  75.341	  28.818	   1.055	   0.652	   0.658	   0.629
   1967	  44.	  75.341	  29.818	   1.309	   0.886	   0.961	   0.901
   1968	  44.	  75.341	  30.818	   1.149	   0.778	   0.820	   0.803
   1969	  44.	  75.341	  31.818	   1.255	   0.913	   0.948	   0.916
   1970	  44.	  75.341	  32.818	   1.239	   0.916	   0.919	   0.906
   1971	  44.	  75.341	  33.818	   1.207	   0.926	   0.906	   0.891
   1972	  44.	  75.341	  34.818	   1.512	   1.273	   1.266	   1.246
   1973	  44.	  75.341	  35.818	   1.293	   1.027	   0.995	   1.037
   1974	  44.	  75.341	  36.818	   1.143	   0.874	   0.852	   0.859
   1975	  44.	  75.341	  37.818	   1.290	   1.125	   1.136	   1.113
   1976	  44.	  75.341	  38.818	   1.192	   0.984	   0.973	   0.993
   1977	  44.	  75.341	  39.818	   1.246	   1.077	   1.051	   1.050
   1978	  44.	  75.341	  40.818	   1.094	   0.922	   0.904	   0.913
   1979	  44.	  75.341	  41.818	   1.101	   0.947	   0.949	   0.936
   1980	  44.	  75.341	  42.818	   1.169	   1.071	   1.080	   1.070
   1981	  44.	  75.341	  43.818	   0.632	   0.580	   0.600	   0.606
   1982	  44.	  75.341	  44.818	   1.037	   0.935	   1.028	   0.965
   1983	  44.	  75.341	  45.818	   1.134	   1.112	   1.166	   1.160
   1984	  44.	  75.341	  46.818	   1.146	   1.096	   1.118	   1.145
   1985	  44.	  75.341	  47.818	   0.921	   0.860	   0.858	   0.883
   1986	  44.	  75.341	  48.818	   1.048	   1.068	   1.092	   1.073
   1987	  44.	  75.341	  49.818	   0.972	   0.969	   0.988	   1.002
   1988	  44.	  75.341	  50.818	   0.889	   0.899	   0.887	   0.888
