"Year","TN_Sco_LITU"
1901,0.907
1902,0.966
1903,1.122
1904,1.008
1905,0.958
1906,1.167
1907,1.025
1908,0.942
1909,1.24
1910,1.131
1911,0.709
1912,1.36
1913,0.803
1914,0.588
1915,1.165
1916,1.473
1917,1.235
1918,1.065
1919,0.889
1920,1.024
1921,0.747
1922,1.541
1923,1.272
1924,1.08
1925,0.465
1926,0.877
1927,0.912
1928,1.318
1929,1.138
1930,0.695
1931,0.957
1932,0.901
1933,0.653
1934,0.878
1935,1.047
1936,0.396
1937,1.059
1938,1.111
1939,1.103
1940,0.989
1941,0.941
1942,1.121
1943,1.115
1944,0.516
1945,1.069
1946,1.169
1947,0.93
1948,0.884
1949,1.276
1950,1.149
1951,1.115
1952,0.849
1953,0.868
1954,0.842
1955,0.988
1956,0.815
1957,1.021
1958,1.025
1959,0.85
1960,1.086
1961,1.066
1962,1.013
1963,0.889
1964,0.858
1965,0.871
1966,0.879
1967,0.897
1968,1.205
1969,0.921
1970,0.831
1971,1.134
1972,1.296
1973,1.32
1974,1.363
1975,1.153
1976,1.078
1977,0.821
1978,0.951
1979,0.869
1980,0.924
1981,0.945
1982,1.084
1983,1.103
1984,0.797
1985,1.204
1986,0.577
1987,1.049
1988,0.648
1989,0.883
1990,0.812
1991,0.933
1992,1.204
1993,0.956
1994,0.722
1995,1.261
1996,1.186
1997,1.172
1998,1.422
1999,1.176
2000,0.947
2001,1.164
2002,0.512
2003,0.672
2004,0.933
2005,1.205
2006,0.793
2007,0.785
2008,1.328
2009,1.137
2010,0.691
2011,1.133
2012,0.694
2013,1.523
2014,0.964
2015,0.844
2016,1.05
2017,1.082
2018,0.923
2019,NA
