"Year","TN_Por_LITU"
1901,1.056
1902,1.014
1903,1.142
1904,0.82
1905,1.004
1906,1.144
1907,1.022
1908,0.7
1909,1.06
1910,0.994
1911,0.952
1912,0.995
1913,1.085
1914,0.598
1915,1.305
1916,1.184
1917,0.928
1918,0.774
1919,0.893
1920,0.915
1921,0.758
1922,1.409
1923,1.259
1924,0.914
1925,0.827
1926,0.69
1927,0.942
1928,1.254
1929,0.806
1930,0.626
1931,0.815
1932,1.101
1933,0.898
1934,1.131
1935,1.123
1936,0.675
1937,1.312
1938,1.156
1939,1.043
1940,0.973
1941,0.876
1942,1.187
1943,1.079
1944,0.648
1945,1.075
1946,1.068
1947,1.098
1948,0.988
1949,1.129
1950,1.269
1951,1.086
1952,1.036
1953,1.128
1954,0.982
1955,0.852
1956,1.019
1957,1.046
1958,0.982
1959,0.902
1960,1.12
1961,0.896
1962,0.973
1963,0.848
1964,1.032
1965,0.657
1966,0.935
1967,0.897
1968,1.023
1969,0.853
1970,0.761
1971,1.001
1972,1.245
1973,1.018
1974,1.231
1975,1.154
1976,0.907
1977,0.949
1978,0.904
1979,0.946
1980,1.253
1981,0.899
1982,1.091
1983,1.189
1984,0.832
1985,1.211
1986,0.639
1987,1.011
1988,0.839
1989,1.115
1990,0.987
1991,1.123
1992,1.134
1993,0.974
1994,0.831
1995,1.089
1996,1.132
1997,1.041
1998,0.845
1999,1.002
2000,0.881
2001,0.839
2002,0.781
2003,1.031
2004,1.13
2005,0.864
2006,1.072
2007,0.838
2008,1.067
2009,1.097
2010,1.054
2011,0.976
2012,1.011
2013,1.11
2014,0.929
2015,0.874
2016,1.042
2017,1.131
2018,1.083
2019,NA
