"Year","TN_For_LITU"
1901,0.977
1902,0.872
1903,1.122
1904,1.02
1905,0.945
1906,1.078
1907,0.988
1908,0.843
1909,1.201
1910,1.001
1911,0.782
1912,0.955
1913,0.959
1914,0.563
1915,1.182
1916,1.375
1917,0.988
1918,0.959
1919,0.941
1920,1.156
1921,0.725
1922,1.437
1923,1.246
1924,1
1925,0.537
1926,0.818
1927,1.26
1928,1.206
1929,1.056
1930,0.727
1931,0.9
1932,1.028
1933,0.784
1934,1.381
1935,1.091
1936,0.552
1937,1.156
1938,1.333
1939,0.997
1940,0.903
1941,0.955
1942,1.043
1943,1.186
1944,0.688
1945,1.253
1946,1.198
1947,0.979
1948,0.792
1949,1.354
1950,1.293
1951,0.992
1952,0.889
1953,0.939
1954,0.941
1955,0.877
1956,1.021
1957,0.968
1958,0.977
1959,0.877
1960,1.191
1961,0.971
1962,1.019
1963,0.91
1964,0.829
1965,0.879
1966,0.986
1967,0.942
1968,1.012
1969,0.929
1970,0.87
1971,1.077
1972,1.263
1973,1.09
1974,1.424
1975,0.96
1976,0.962
1977,0.824
1978,1.011
1979,0.963
1980,0.88
1981,0.988
1982,1.095
1983,0.906
1984,0.81
1985,1.037
1986,0.715
1987,0.996
1988,0.555
1989,1.049
1990,0.965
1991,0.864
1992,1.235
1993,0.708
1994,0.926
1995,1.048
1996,1.13
1997,1.056
1998,0.987
1999,1.112
2000,1.035
2001,0.929
2002,1.013
2003,0.809
2004,1.006
2005,1.235
2006,1.095
2007,0.836
2008,1.234
2009,1.167
2010,0.804
2011,1.028
2012,0.983
2013,1.413
2014,0.972
2015,0.899
2016,1.011
2017,1.149
2018,1.074
2019,NA
