"Year","TN_Chi_LITU"
1901,1.217
1902,1.111
1903,0.989
1904,0.843
1905,0.96
1906,1.209
1907,1.062
1908,0.513
1909,1.284
1910,1.147
1911,0.82
1912,1.04
1913,0.949
1914,0.695
1915,1.039
1916,1.155
1917,1.053
1918,0.956
1919,1.022
1920,0.936
1921,0.895
1922,1.201
1923,0.981
1924,0.926
1925,0.584
1926,0.819
1927,0.994
1928,1.253
1929,0.919
1930,0.75
1931,0.9
1932,0.96
1933,0.917
1934,1.228
1935,1.059
1936,0.904
1937,1.113
1938,1.15
1939,1.206
1940,1.062
1941,1.017
1942,1.094
1943,1.205
1944,0.594
1945,1.134
1946,1.03
1947,0.986
1948,0.998
1949,1.102
1950,0.998
1951,1.06
1952,0.822
1953,1.222
1954,0.936
1955,0.956
1956,1.105
1957,0.986
1958,0.939
1959,0.923
1960,0.935
1961,0.909
1962,0.956
1963,0.809
1964,1.025
1965,0.813
1966,0.317
1967,1.013
1968,1
1969,1.028
1970,0.869
1971,1.102
1972,1.164
1973,1.036
1974,1.297
1975,1.303
1976,1.08
1977,1.013
1978,0.987
1979,1.007
1980,1.173
1981,0.988
1982,1.087
1983,1.008
1984,1.076
1985,1.185
1986,0.762
1987,0.853
1988,0.826
1989,1
1990,0.868
1991,0.982
1992,1.079
1993,0.727
1994,0.76
1995,1.033
1996,1.083
1997,1.06
1998,1.023
1999,1.252
2000,1.198
2001,1.06
2002,1.024
2003,0.959
2004,1.117
2005,0.727
2006,0.98
2007,0.803
2008,0.947
2009,1.142
2010,0.899
2011,0.99
2012,1.011
2013,1.101
2014,0.933
2015,0.915
2016,0.971
2017,1.223
2018,1.058
2019,NA
