"Year","TN_Gre_QUMO"
1901,1.072
1902,1.154
1903,0.989
1904,1.007
1905,1.037
1906,1.111
1907,0.676
1908,1.073
1909,1.139
1910,1.03
1911,0.598
1912,1.204
1913,0.867
1914,0.931
1915,1.185
1916,1.079
1917,0.996
1918,0.714
1919,1.022
1920,0.913
1921,0.92
1922,1.242
1923,1.103
1924,0.851
1925,0.703
1926,0.878
1927,0.988
1928,1.195
1929,0.962
1930,0.82
1931,1.001
1932,1.041
1933,1.015
1934,1.274
1935,1.181
1936,0.765
1937,1.124
1938,0.922
1939,0.975
1940,0.991
1941,1.074
1942,1.14
1943,1.086
1944,0.927
1945,1.162
1946,1.127
1947,1.044
1948,0.789
1949,1.078
1950,0.951
1951,1.107
1952,0.929
1953,1.012
1954,0.927
1955,0.943
1956,0.974
1957,1.083
1958,1.074
1959,0.955
1960,1.041
1961,1.033
1962,0.882
1963,0.961
1964,1.082
1965,0.931
1966,0.867
1967,0.918
1968,1.002
1969,0.969
1970,0.995
1971,1.038
1972,1.023
1973,0.95
1974,0.954
1975,0.945
1976,1.007
1977,1.01
1978,1.159
1979,0.906
1980,0.993
1981,1.078
1982,0.847
1983,1.152
1984,0.9
1985,0.974
1986,0.849
1987,1.064
1988,0.909
1989,1.028
1990,1
1991,0.981
1992,1.041
1993,0.938
1994,1.162
1995,1.037
1996,0.968
1997,0.959
1998,0.832
1999,1.048
2000,1.018
2001,1.048
2002,1.078
2003,1.12
2004,0.967
2005,0.848
2006,0.979
2007,0.625
2008,1.124
2009,1.12
2010,1.018
2011,1.024
2012,1.047
2013,1.003
2014,0.867
2015,0.947
2016,1.065
2017,1.184
2018,0.987
2019,NA
