"Year","Mohonk_CAGL"
1901,0.932
1902,1.17
1903,0.856
1904,1.145
1905,0.936
1906,1.063
1907,0.981
1908,0.907
1909,0.952
1910,0.968
1911,0.934
1912,0.978
1913,0.974
1914,0.903
1915,1.184
1916,1.161
1917,1.12
1918,0.817
1919,0.958
1920,1.249
1921,1.003
1922,1.118
1923,0.834
1924,0.939
1925,0.866
1926,1.143
1927,1.184
1928,0.981
1929,1.11
1930,1.063
1931,1.006
1932,1.204
1933,0.747
1934,1.002
1935,0.944
1936,0.852
1937,0.818
1938,1.207
1939,0.847
1940,0.969
1941,1.047
1942,1.172
1943,0.932
1944,1.158
1945,1.017
1946,1.158
1947,1.007
1948,0.935
1949,1.068
1950,0.991
1951,1.157
1952,1.104
1953,1.137
1954,1.059
1955,1.132
1956,1.064
1957,0.851
1958,0.882
1959,1.065
1960,1.035
1961,1.169
1962,0.82
1963,0.937
1964,1.032
1965,0.67
1966,0.842
1967,0.902
1968,0.94
1969,0.933
1970,0.963
1971,0.832
1972,1.188
1973,1.127
1974,1.02
1975,0.924
1976,1.236
1977,0.913
1978,0.91
1979,0.843
1980,0.669
1981,0.75
1982,1.147
1983,1.072
1984,0.854
1985,1.298
1986,0.998
1987,0.869
1988,0.997
1989,1.09
1990,1.266
1991,0.772
1992,1.23
1993,1.08
1994,0.991
1995,1.07
1996,0.929
1997,0.994
1998,0.983
1999,0.888
2000,1.188
2001,1.167
2002,0.931
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
