"Year","Mohonk_LITU"
1901,0.935
1902,1.008
1903,0.927
1904,1.053
1905,0.83
1906,1.075
1907,0.924
1908,0.957
1909,0.908
1910,0.914
1911,0.762
1912,0.829
1913,0.863
1914,0.99
1915,1.085
1916,1.081
1917,0.987
1918,0.58
1919,1.139
1920,1.182
1921,1.228
1922,1.176
1923,0.847
1924,0.921
1925,0.956
1926,1.091
1927,0.966
1928,1.098
1929,1.026
1930,0.981
1931,1.086
1932,1.234
1933,0.879
1934,0.888
1935,0.944
1936,0.799
1937,1.119
1938,1.254
1939,0.823
1940,0.876
1941,1.033
1942,0.979
1943,0.994
1944,0.806
1945,1.103
1946,1.104
1947,1.088
1948,0.933
1949,1.026
1950,0.938
1951,1.277
1952,1.209
1953,1.039
1954,0.933
1955,1.09
1956,0.878
1957,0.857
1958,0.986
1959,0.732
1960,0.949
1961,1.236
1962,0.697
1963,0.959
1964,0.75
1965,0.547
1966,0.78
1967,0.866
1968,1.158
1969,0.861
1970,1.365
1971,1.088
1972,1.201
1973,1.141
1974,1.123
1975,1.148
1976,1.002
1977,1.159
1978,1.156
1979,0.904
1980,1.005
1981,0.91
1982,1.047
1983,0.945
1984,0.712
1985,1.331
1986,1.154
1987,0.844
1988,0.83
1989,0.943
1990,1.207
1991,0.825
1992,1.067
1993,0.908
1994,0.974
1995,1.173
1996,0.867
1997,1.028
1998,1.083
1999,0.752
2000,0.992
2001,1.173
2002,0.798
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
