"Year","Mohonk_BELE"
1901,0.042
1902,2.064
1903,1.044
1904,0.784
1905,1.289
1906,1.828
1907,1.448
1908,0.928
1909,0.752
1910,0.159
1911,0.298
1912,1.609
1913,0.536
1914,0.595
1915,0.627
1916,2.103
1917,1.902
1918,0.589
1919,1.628
1920,-0.149
1921,0.806
1922,2.253
1923,1.341
1924,1.043
1925,1.487
1926,1.835
1927,2.067
1928,0.507
1929,1.249
1930,0.013
1931,0.547
1932,2.262
1933,0.837
1934,1.277
1935,0.937
1936,1.718
1937,1.977
1938,0.265
1939,1.474
1940,-0.121
1941,0.56
1942,1.891
1943,0.42
1944,1.152
1945,0.638
1946,1.645
1947,1.691
1948,0.335
1949,1.444
1950,-0.169
1951,0.614
1952,1.992
1953,0.833
1954,1.253
1955,0.975
1956,1.52
1957,1.711
1958,0.493
1959,1.162
1960,0.19
1961,0.406
1962,1.637
1963,0.21
1964,1.126
1965,0.302
1966,1.592
1967,0.323
1968,1.001
1969,0.072
1970,0.451
1971,0.014
1972,1.742
1973,1.291
1974,0.611
1975,1.556
1976,1.516
1977,2.122
1978,0.797
1979,1.449
1980,0.35
1981,0.651
1982,0.848
1983,1.065
1984,0.301
1985,0.998
1986,1.035
1987,1.578
1988,0.421
1989,1.322
1990,-0.08
1991,0.702
1992,1.665
1993,1.389
1994,0.736
1995,1.473
1996,1.619
1997,1.642
1998,1.038
1999,0.938
2000,0.526
2001,0.411
2002,1.752
2003,0.524
2004,1.149
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
