"Year","MI_Flu_ACRU"
1901,NA
1902,NA
1903,NA
1904,NA
1905,NA
1906,NA
1907,NA
1908,NA
1909,NA
1910,NA
1911,NA
1912,NA
1913,NA
1914,NA
1915,NA
1916,NA
1917,NA
1918,NA
1919,0.945
1920,1.175
1921,1.042
1922,1.192
1923,1.126
1924,1.245
1925,0.678
1926,0.856
1927,1.098
1928,1.115
1929,1.008
1930,1.001
1931,0.845
1932,1.307
1933,0.521
1934,1.256
1935,0.898
1936,0.712
1937,0.984
1938,0.927
1939,1.016
1940,0.961
1941,0.604
1942,1.299
1943,1.044
1944,0.906
1945,0.826
1946,1.175
1947,0.987
1948,0.982
1949,1.075
1950,0.971
1951,1.204
1952,1.254
1953,0.95
1954,0.656
1955,0.87
1956,1.057
1957,1.129
1958,0.987
1959,0.776
1960,1.223
1961,1.355
1962,0.685
1963,0.728
1964,1.277
1965,1.013
1966,0.58
1967,1.029
1968,0.995
1969,0.903
1970,1.22
1971,0.916
1972,1.507
1973,1.129
1974,1.421
1975,1.131
1976,1.214
1977,0.856
1978,1.039
1979,1.14
1980,1.112
1981,0.905
1982,0.701
1983,0.696
1984,0.773
1985,0.934
1986,0.974
1987,0.877
1988,0.661
1989,1.049
1990,1.201
1991,0.747
1992,0.692
1993,1.161
1994,0.888
1995,0.958
1996,0.986
1997,0.735
1998,1.477
1999,1.248
2000,1.078
2001,0.843
2002,0.737
2003,1.102
2004,1.114
2005,1.048
2006,0.961
2007,0.922
2008,1.049
2009,0.936
2010,1.029
2011,1.075
2012,1.055
2013,1.016
2014,1.243
2015,1.049
2016,0.76
2017,0.966
2018,NA
2019,NA
