"wood_type","percs","refwoy","refmonth","refday","winopenwoy","winclosewoy","bestmodel_beta","median_windowopendate","median_windowclosedate"
"diffuse-porous",0.25,23,"06","14",13,11,3.08496009075431,"2011-03-12","2011-04-02"
"diffuse-porous",0.5,26,"07","02",16,14,3.03809426414662,"2011-03-12","2011-04-02"
"diffuse-porous",0.75,28,"07","19",5,4,-4.68754454419524,"2011-06-14","2011-06-25"
"ring-porous",0.25,19,"05","13",8,6,1.39280442265365,"2011-03-19","2011-04-16"
"ring-porous",0.5,23,"06","09",12,10,2.96176262679347,"2011-03-19","2011-04-12"
"ring-porous",0.75,27,"07","07",2,0,6.71929463204728,"2011-06-28","2011-07-09"
