"Year","IN_Pio_QUAL"
1901,0.756
1902,1.224
1903,1.223
1904,0.93
1905,1.091
1906,0.957
1907,1.262
1908,0.777
1909,1.088
1910,1.27
1911,0.73
1912,1.115
1913,0.854
1914,0.788
1915,1.25
1916,1.19
1917,1.036
1918,0.775
1919,0.96
1920,0.917
1921,0.757
1922,1.108
1923,0.933
1924,1.01
1925,0.552
1926,1.105
1927,1.086
1928,1.146
1929,0.871
1930,0.841
1931,0.984
1932,1.159
1933,0.887
1934,0.725
1935,1.139
1936,0.682
1937,1.041
1938,1.237
1939,1.16
1940,0.917
1941,0.924
1942,0.999
1943,0.928
1944,0.715
1945,1.14
1946,1.013
1947,1.084
1948,1.05
1949,1.164
1950,1.189
1951,1.179
1952,0.922
1953,0.888
1954,0.704
1955,1.247
1956,0.982
1957,1.098
1958,1.161
1959,0.997
1960,1
1961,1.104
1962,0.986
1963,1.039
1964,0.972
1965,1.023
1966,0.874
1967,0.863
1968,0.989
1969,0.935
1970,0.96
1971,0.915
1972,0.855
1973,1.175
1974,1.095
1975,0.959
1976,1.06
1977,0.908
1978,1.022
1979,0.907
1980,0.976
1981,0.928
1982,1.172
1983,0.853
1984,0.811
1985,1.048
1986,0.953
1987,0.927
1988,0.698
1989,1.231
1990,1.057
1991,0.934
1992,1.142
1993,1.136
1994,0.985
1995,1.218
1996,0.962
1997,0.978
1998,1.136
1999,1.107
2000,0.98
2001,1.174
2002,1.055
2003,0.82
2004,0.927
2005,0.887
2006,1.022
2007,0.81
2008,1.015
2009,1.119
2010,0.994
2011,0.935
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
