domainID,siteID,horizontalPosition,verticalPosition,date,wssPrecipTotal,precipQF,publicationDate
D02,SCBI,900,000,2017-02-19,1.51,1,20200625T005021Z
D02,SCBI,900,000,2017-02-20,0.72,1,20200625T005021Z
D02,SCBI,900,000,2017-02-21,0.36,0,20200625T005021Z
D02,SCBI,900,000,2017-02-22,0.52,0,20200625T005021Z
D02,SCBI,900,000,2017-02-23,1.74,0,20200625T005021Z
D02,SCBI,900,000,2017-02-24,1.58,0,20200625T005021Z
D02,SCBI,900,000,2017-02-25,1.92,0,20200625T005021Z
D02,SCBI,900,000,2017-02-26,0.7,0,20200625T005021Z
D02,SCBI,900,000,2017-02-27,0.32,0,20200625T005021Z
D02,SCBI,900,000,2017-02-28,2.53,0,20200625T005021Z
D02,SCBI,900,000,2017-03-01,1.83,0,20200625T005028Z
D02,SCBI,900,000,2017-03-02,0.7,0,20200625T005028Z
D02,SCBI,900,000,2017-03-03,0.8,0,20200625T005028Z
D02,SCBI,900,000,2017-03-04,0.15,1,20200625T005028Z
D02,SCBI,900,000,2017-03-05,0.33,1,20200625T005028Z
D02,SCBI,900,000,2017-03-06,0.14,0,20200625T005028Z
D02,SCBI,900,000,2017-03-07,2.8,0,20200625T005028Z
D02,SCBI,900,000,2017-03-08,2.16,0,20200625T005028Z
D02,SCBI,900,000,2017-03-09,1.18,0,20200625T005028Z
D02,SCBI,900,000,2017-03-10,1.16,0,20200625T005028Z
D02,SCBI,900,000,2017-03-11,0.4,1,20200625T005028Z
D02,SCBI,900,000,2017-03-12,0.33,1,20200625T005028Z
D02,SCBI,900,000,2017-03-13,0.47,1,20200625T005028Z
D02,SCBI,900,000,2017-03-14,18.79,1,20200625T005028Z
D02,SCBI,900,000,2017-03-15,0.35,1,20200625T005028Z
D02,SCBI,900,000,2017-03-16,0.59,1,20200625T005028Z
D02,SCBI,900,000,2017-03-17,0.25,1,20200625T005028Z
D02,SCBI,900,000,2017-03-18,7.86,0,20200625T005028Z
D02,SCBI,900,000,2017-03-19,2.31,0,20200625T005028Z
D02,SCBI,900,000,2017-03-20,0.44,0,20200625T005028Z
D02,SCBI,900,000,2017-03-21,1.1,0,20200625T005028Z
D02,SCBI,900,000,2017-03-22,0.13,0,20200625T005028Z
D02,SCBI,900,000,2017-03-23,0.42,1,20200625T005028Z
D02,SCBI,900,000,2017-03-24,3.06,0,20200625T005028Z
D02,SCBI,900,000,2017-03-25,0.93,0,20200625T005028Z
D02,SCBI,900,000,2017-03-26,0.39,0,20200625T005028Z
D02,SCBI,900,000,2017-03-27,2.28,0,20200625T005028Z
D02,SCBI,900,000,2017-03-28,3.81,0,20200625T005028Z
D02,SCBI,900,000,2017-03-29,1.54,0,20200625T005028Z
D02,SCBI,900,000,2017-03-30,0.21,0,20200625T005028Z
D02,SCBI,900,000,2017-03-31,11.31,0,20200625T005028Z
D02,SCBI,900,000,2017-04-01,3.28,0,20200625T005003Z
D02,SCBI,900,000,2017-04-02,0.58,0,20200625T005003Z
D02,SCBI,900,000,2017-04-03,0.8,0,20200625T005003Z
D02,SCBI,900,000,2017-04-04,3.78,0,20200625T005003Z
D02,SCBI,900,000,2017-04-05,0.78,1,20200625T005003Z
D02,SCBI,900,000,2017-04-06,1.87,1,20200625T005003Z
D02,SCBI,900,000,2017-04-07,0.24,0,20200625T005003Z
D02,SCBI,900,000,2017-04-08,0.49,0,20200625T005003Z
D02,SCBI,900,000,2017-04-09,0.48,0,20200625T005003Z
D02,SCBI,900,000,2017-04-10,0.48,0,20200625T005003Z
D02,SCBI,900,000,2017-04-11,0.29,0,20200625T005003Z
D02,SCBI,900,000,2017-04-12,0.83,0,20200625T005003Z
D02,SCBI,900,000,2017-04-13,0.28,0,20200625T005003Z
D02,SCBI,900,000,2017-04-14,0.26,0,20200625T005003Z
D02,SCBI,900,000,2017-04-15,0.63,0,20200625T005003Z
D02,SCBI,900,000,2017-04-16,0.96,0,20200625T005003Z
D02,SCBI,900,000,2017-04-17,5.89,0,20200625T005003Z
D02,SCBI,900,000,2017-04-18,0.4,0,20200625T005003Z
D02,SCBI,900,000,2017-04-19,0.89,0,20200625T005003Z
D02,SCBI,900,000,2017-04-20,1.12,0,20200625T005003Z
D02,SCBI,900,000,2017-04-21,0.27,0,20200625T005003Z
D02,SCBI,900,000,2017-04-22,9.02,0,20200625T005003Z
D02,SCBI,900,000,2017-04-23,0.38,0,20200625T005003Z
D02,SCBI,900,000,2017-04-24,10.19,0,20200625T005003Z
D02,SCBI,900,000,2017-04-25,23.18,0,20200625T005003Z
D02,SCBI,900,000,2017-04-26,5.31,0,20200625T005003Z
D02,SCBI,900,000,2017-04-27,1.44,0,20200625T005003Z
D02,SCBI,900,000,2017-04-28,0.75,0,20200625T005003Z
D02,SCBI,900,000,2017-04-29,2.53,0,20200625T005003Z
D02,SCBI,900,000,2017-04-30,0.25,0,20200625T005003Z
D02,SCBI,900,000,2017-05-01,1.17,0,20200625T005028Z
D02,SCBI,900,000,2017-05-02,1.07,0,20200625T005028Z
D02,SCBI,900,000,2017-05-03,0.65,0,20200625T005028Z
D02,SCBI,900,000,2017-05-04,2.41,0,20200625T005028Z
D02,SCBI,900,000,2017-05-05,78.84,0,20200625T005028Z
D02,SCBI,900,000,2017-05-06,2.62,0,20200625T005028Z
D02,SCBI,900,000,2017-05-07,2,0,20200625T005028Z
D02,SCBI,900,000,2017-05-08,0.42,1,20200625T005028Z
D02,SCBI,900,000,2017-05-09,0.25,0,20200625T005028Z
D02,SCBI,900,000,2017-05-10,0.28,0,20200625T005028Z
D02,SCBI,900,000,2017-05-11,29.97,0,20200625T005028Z
D02,SCBI,900,000,2017-05-12,7.05,0,20200625T005028Z
D02,SCBI,900,000,2017-05-13,16.17,0,20200625T005028Z
D02,SCBI,900,000,2017-05-14,0.63,1,20200625T005028Z
D02,SCBI,900,000,2017-05-15,0.6,0,20200625T005028Z
D02,SCBI,900,000,2017-05-16,0.18,0,20200625T005028Z
D02,SCBI,900,000,2017-05-17,0.32,0,20200625T005028Z
D02,SCBI,900,000,2017-05-18,1.45,0,20200625T005028Z
D02,SCBI,900,000,2017-05-19,0.87,0,20200625T005028Z
D02,SCBI,900,000,2017-05-20,0.12,0,20200625T005028Z
D02,SCBI,900,000,2017-05-21,0.4,0,20200625T005028Z
D02,SCBI,900,000,2017-05-22,2.26,0,20200625T005028Z
D02,SCBI,900,000,2017-05-23,0.56,0,20200625T005028Z
D02,SCBI,900,000,2017-05-24,11.88,0,20200625T005028Z
D02,SCBI,900,000,2017-05-25,30.88,0,20200625T005028Z
D02,SCBI,900,000,2017-05-26,1.44,0,20200625T005028Z
D02,SCBI,900,000,2017-05-27,0.45,0,20200625T005028Z
D02,SCBI,900,000,2017-05-28,0.22,0,20200625T005028Z
D02,SCBI,900,000,2017-05-29,0.5,0,20200625T005028Z
D02,SCBI,900,000,2017-05-30,1,0,20200625T005028Z
D02,SCBI,900,000,2017-05-31,0.68,0,20200625T005028Z
D02,SCBI,900,000,2017-06-01,0.41,0,20200625T005026Z
D02,SCBI,900,000,2017-06-02,0.47,0,20200625T005026Z
D02,SCBI,900,000,2017-06-03,0.66,0,20200625T005026Z
D02,SCBI,900,000,2017-06-04,0.23,0,20200625T005026Z
D02,SCBI,900,000,2017-06-05,1.64,0,20200625T005026Z
D02,SCBI,900,000,2017-06-06,0.52,0,20200625T005026Z
D02,SCBI,900,000,2017-06-07,3.63,0,20200625T005026Z
D02,SCBI,900,000,2017-06-08,0.71,0,20200625T005026Z
D02,SCBI,900,000,2017-06-09,0.74,0,20200625T005026Z
D02,SCBI,900,000,2017-06-10,0.1,0,20200625T005026Z
D02,SCBI,900,000,2017-06-11,0.2,0,20200625T005026Z
D02,SCBI,900,000,2017-06-12,0.53,0,20200625T005026Z
D02,SCBI,900,000,2017-06-13,0.41,0,20200625T005026Z
D02,SCBI,900,000,2017-06-14,0.22,0,20200625T005026Z
D02,SCBI,900,000,2017-06-15,0.83,0,20200625T005026Z
D02,SCBI,900,000,2017-06-16,6.84,0,20200625T005026Z
D02,SCBI,900,000,2017-06-17,0.48,0,20200625T005026Z
D02,SCBI,900,000,2017-06-18,0.69,0,20200625T005026Z
D02,SCBI,900,000,2017-06-19,2.12,0,20200625T005026Z
D02,SCBI,900,000,2017-06-20,0.48,0,20200625T005026Z
D02,SCBI,900,000,2017-06-21,0.54,0,20200625T005026Z
D02,SCBI,900,000,2017-06-22,0.33,0,20200625T005026Z
D02,SCBI,900,000,2017-06-23,4.78,0,20200625T005026Z
D02,SCBI,900,000,2017-06-24,5.95,0,20200625T005026Z
D02,SCBI,900,000,2017-06-25,0.41,0,20200625T005026Z
D02,SCBI,900,000,2017-06-26,0.28,0,20200625T005026Z
D02,SCBI,900,000,2017-06-27,0.27,0,20200625T005026Z
D02,SCBI,900,000,2017-06-28,0.53,0,20200625T005026Z
D02,SCBI,900,000,2017-06-29,0.68,0,20200625T005026Z
D02,SCBI,900,000,2017-06-30,0.74,0,20200625T005026Z
D02,SCBI,900,000,2017-07-01,0.71,0,20200625T005004Z
D02,SCBI,900,000,2017-07-02,0.19,0,20200625T005004Z
D02,SCBI,900,000,2017-07-03,0.29,0,20200625T005004Z
D02,SCBI,900,000,2017-07-04,0.28,0,20200625T005004Z
D02,SCBI,900,000,2017-07-05,5.26,0,20200625T005004Z
D02,SCBI,900,000,2017-07-06,10.53,0,20200625T005004Z
D02,SCBI,900,000,2017-07-07,3.66,0,20200625T005004Z
D02,SCBI,900,000,2017-07-08,0.79,0,20200625T005004Z
D02,SCBI,900,000,2017-07-09,0.75,0,20200625T005004Z
D02,SCBI,900,000,2017-07-10,0.45,0,20200625T005004Z
D02,SCBI,900,000,2017-07-11,1.3,0,20200625T005004Z
D02,SCBI,900,000,2017-07-12,1.01,0,20200625T005004Z
D02,SCBI,900,000,2017-07-13,0.63,0,20200625T005004Z
D02,SCBI,900,000,2017-07-14,3.35,0,20200625T005004Z
D02,SCBI,900,000,2017-07-15,0.67,0,20200625T005004Z
D02,SCBI,900,000,2017-07-16,0.29,0,20200625T005004Z
D02,SCBI,900,000,2017-07-17,0.78,0,20200625T005004Z
D02,SCBI,900,000,2017-07-18,0.73,0,20200625T005004Z
D02,SCBI,900,000,2017-07-19,0.65,0,20200625T005004Z
D02,SCBI,900,000,2017-07-20,0.72,0,20200625T005004Z
D02,SCBI,900,000,2017-07-21,0.92,0,20200625T005004Z
D02,SCBI,900,000,2017-07-22,7.47,0,20200625T005004Z
D02,SCBI,900,000,2017-07-23,1.35,0,20200625T005004Z
D02,SCBI,900,000,2017-07-24,0.68,0,20200625T005004Z
D02,SCBI,900,000,2017-07-25,0.57,0,20200625T005004Z
D02,SCBI,900,000,2017-07-26,0.54,0,20200625T005004Z
D02,SCBI,900,000,2017-07-27,1.01,0,20200625T005004Z
D02,SCBI,900,000,2017-07-28,6.39,0,20200625T005004Z
D02,SCBI,900,000,2017-07-29,23.07,0,20200625T005004Z
D02,SCBI,900,000,2017-07-30,0.45,0,20200625T005004Z
D02,SCBI,900,000,2017-07-31,0.36,0,20200625T005004Z
D02,SCBI,900,000,2017-08-01,0.59,0,20200625T005017Z
D02,SCBI,900,000,2017-08-02,0.68,0,20200625T005017Z
D02,SCBI,900,000,2017-08-03,1.19,0,20200625T005017Z
D02,SCBI,900,000,2017-08-04,0.36,0,20200625T005017Z
D02,SCBI,900,000,2017-08-05,1.44,0,20200625T005017Z
D02,SCBI,900,000,2017-08-06,0.38,0,20200625T005017Z
D02,SCBI,900,000,2017-08-07,9.8,0,20200625T005017Z
D02,SCBI,900,000,2017-08-08,3.8,0,20200625T005017Z
D02,SCBI,900,000,2017-08-09,0.24,0,20200625T005017Z
D02,SCBI,900,000,2017-08-10,0.77,0,20200625T005017Z
D02,SCBI,900,000,2017-08-11,33.03,0,20200625T005017Z
D02,SCBI,900,000,2017-08-12,1.06,0,20200625T005017Z
D02,SCBI,900,000,2017-08-13,0.48,0,20200625T005017Z
D02,SCBI,900,000,2017-08-14,0.94,0,20200625T005017Z
D02,SCBI,900,000,2017-08-15,2.48,0,20200625T005017Z
D02,SCBI,900,000,2017-08-16,0.7,0,20200625T005017Z
D02,SCBI,900,000,2017-08-17,0.55,0,20200625T005017Z
D02,SCBI,900,000,2017-08-18,1,0,20200625T005017Z
D02,SCBI,900,000,2017-08-19,0.65,0,20200625T005017Z
D02,SCBI,900,000,2017-08-20,2.19,0,20200625T005017Z
D02,SCBI,900,000,2017-08-21,0.65,0,20200625T005017Z
D02,SCBI,900,000,2017-08-22,0.5,0,20200625T005017Z
D02,SCBI,900,000,2017-08-23,1.34,0,20200625T005017Z
D02,SCBI,900,000,2017-08-24,0.62,0,20200625T005017Z
D02,SCBI,900,000,2017-08-25,0.62,0,20200625T005017Z
D02,SCBI,900,000,2017-08-26,0.18,0,20200625T005017Z
D02,SCBI,900,000,2017-08-27,0.49,0,20200625T005017Z
D02,SCBI,900,000,2017-08-28,0.47,0,20200625T005017Z
D02,SCBI,900,000,2017-08-29,21.12,0,20200625T005017Z
D02,SCBI,900,000,2017-08-30,0.91,0,20200625T005017Z
D02,SCBI,900,000,2017-08-31,0.47,0,20200625T005017Z
D02,SCBI,900,000,2017-09-01,0.4,0,20200625T005025Z
