XDATE,PET,PRE,CMI,year,month,day,DATE
,,91.6,,2010,1,,
,,81.4,,2010,2,,
,,91.2,,2010,3,,
,,34.9,,2010,4,,
,,81.1,,2010,5,,
,,41.9,,2010,6,,
,,66.7,,2010,7,,
,,64.4,,2010,8,,
,,96.9,,2010,9,,
,,85.4,,2010,10,,
,,62.1,,2010,11,,
,,53.7,,2010,12,,
X2011.01.16,1.200000048,50.10000229,48.90000224,2011,1,16,16/01/2011
X2011.02.15,1.899999976,64,62.10000002,2011,2,15,15/02/2011
X2011.03.16,2.400000095,88.30000305,85.90000296,2011,3,16,16/03/2011
X2011.04.16,3.5,99.5,96,2011,4,16,16/04/2011
X2011.05.16,3.700000048,82.90000153,79.20000148,2011,5,16,16/05/2011
X2011.06.16,4.800000191,64.30000305,59.50000286,2011,6,16,16/06/2011
X2011.07.16,4.900000095,80.70000458,75.80000448,2011,7,16,16/07/2011
X2011.08.16,4.099999905,140.1999969,136.099997,2011,8,16,16/08/2011
X2011.09.16,2.799999952,158.5,155.7,2011,9,16,16/09/2011
X2011.10.16,2.299999952,107.0999985,104.7999985,2011,10,16,16/10/2011
X2011.11.16,1.899999976,86,84.10000002,2011,11,16,16/11/2011
X2011.12.16,1.300000072,77.20000458,75.90000451,2011,12,16,16/12/2011
X2012.01.16,1.600000024,56,54.39999998,2012,1,16,16/01/2012
X2012.02.15,1.899999976,57.60000229,55.70000231,2012,2,15,15/02/2012
X2012.03.16,3.100000143,64.80000305,61.70000291,2012,3,16,16/03/2012
X2012.04.16,3.799999952,60.20000076,56.40000081,2012,4,16,16/04/2012
X2012.05.16,3.900000095,90.40000153,86.50000143,2012,5,16,16/05/2012
X2012.06.16,4.900000095,69.80000305,64.90000296,2012,6,16,16/06/2012
X2012.07.16,4.900000095,96.90000153,92.00000143,2012,7,16,16/07/2012
X2012.08.16,4,75.70000458,71.70000458,2012,8,16,16/08/2012
X2012.09.16,3.200000048,127.7000046,124.5000045,2012,9,16,16/09/2012
X2012.10.16,2.200000048,145.5,143.3,2012,10,16,16/10/2012
X2012.11.16,1.800000072,18.5,16.69999993,2012,11,16,16/11/2012
X2012.12.16,1.200000048,84.5,83.29999995,2012,12,16,16/12/2012
X2013.01.16,1.300000072,79.20000458,77.90000451,2013,1,16,16/01/2013
X2013.02.15,1.600000024,53.10000229,51.50000226,2013,2,15,15/02/2013
X2013.03.16,2.200000048,70.20000458,68.00000453,2013,3,16,16/03/2013
X2013.04.16,3.700000048,76,72.29999995,2013,4,16,16/04/2013
X2013.05.16,3.700000048,100.0999985,96.39999843,2013,5,16,16/05/2013
X2013.06.16,4.300000191,213,208.6999998,2013,6,16,16/06/2013
X2013.07.16,4.099999905,132.5,128.4000001,2013,7,16,16/07/2013
X2013.08.16,3.5,84.40000153,80.90000153,2013,8,16,16/08/2013
X2013.09.16,3.299999952,44.79999924,41.49999928,2013,9,16,16/09/2013
X2013.10.16,2.200000048,96.90000153,94.70000148,2013,10,16,16/10/2013
X2013.11.16,1.800000072,74.70000458,72.90000451,2013,11,16,16/11/2013
X2013.12.16,1.100000024,107,105.9,2013,12,16,16/12/2013
X2014.01.16,1.100000024,60,58.89999998,2014,1,16,16/01/2014
X2014.02.15,1.600000024,81.40000153,79.8000015,2014,2,15,15/02/2014
X2014.03.16,2.299999952,77.5,75.20000005,2014,3,16,16/03/2014
X2014.04.16,3.799999952,124.8000031,121.0000031,2014,4,16,16/04/2014
X2014.05.16,4.099999905,105.5999985,101.4999986,2014,5,16,16/05/2014
X2014.06.16,4.400000095,87.90000153,83.50000143,2014,6,16,16/06/2014
X2014.07.16,4.300000191,126.7000046,122.4000044,2014,7,16,16/07/2014
X2014.08.16,3.400000095,108.8000031,105.400003,2014,8,16,16/08/2014
X2014.09.16,3.100000143,76.90000153,73.80000138,2014,9,16,16/09/2014
X2014.10.16,2.299999952,84.5,82.20000005,2014,10,16,16/10/2014
X2014.11.16,1.700000048,72.90000153,71.20000148,2014,11,16,16/11/2014
X2014.12.16,1.100000024,68.5,67.39999998,2014,12,16,16/12/2014
X2015.01.16,1.300000072,69.70000458,68.40000451,2015,1,16,16/01/2015
X2015.02.15,1.300000072,52.70000076,51.40000069,2015,2,15,15/02/2015
X2015.03.16,2.299999952,95.80000305,93.5000031,2015,3,16,16/03/2015
X2015.04.16,3.600000143,100.2000046,96.60000443,2015,4,16,16/04/2015
X2015.05.16,4.200000286,52.29999924,48.09999895,2015,5,16,16/05/2015
X2015.06.16,4.099999905,208.9000092,204.8000093,2015,6,16,16/06/2015
X2015.07.16,4,120.4000015,116.4000015,2015,7,16,16/07/2015
X2015.08.16,3.900000095,58.90000153,55.00000143,2015,8,16,16/08/2015
X2015.09.16,3.400000095,113.4000015,110.0000014,2015,9,16,16/09/2015
X2015.10.16,2.200000048,104.5,102.3,2015,10,16,16/10/2015
X2015.11.16,1.700000048,77.5,75.79999995,2015,11,16,16/11/2015
X2015.12.16,1.700000048,101.0999985,99.39999843,2015,12,16,16/12/2015
X2016.01.16,1.300000072,56.60000229,55.30000222,2016,1,16,16/01/2016
X2016.02.15,1.5,88.30000305,86.80000305,2016,2,15,15/02/2016
X2016.03.16,3,55.20000076,52.20000076,2016,3,16,16/03/2016
X2016.04.16,3.799999952,61.60000229,57.80000234,2016,4,16,16/04/2016
X2016.05.16,3.5,157.8000031,154.3000031,2016,5,16,16/05/2016
X2016.06.16,4.599999905,116,111.4000001,2016,6,16,16/06/2016
X2016.07.16,4.400000095,123,118.5999999,2016,7,16,16/07/2016
X2016.08.16,3.900000095,58.10000229,54.20000219,2016,8,16,16/08/2016
X2016.09.16,3.5,97.40000153,93.90000153,2016,9,16,16/09/2016
X2016.10.16,2.299999952,90.30000305,88.0000031,2016,10,16,16/10/2016
X2016.11.16,1.800000072,33.90000153,32.10000145,2016,11,16,16/11/2016
X2016.12.16,1.200000048,65.09999847,63.89999843,2016,12,16,16/12/2016
X2017.01.16,1.200000048,78.20000458,77.00000453,2017,1,16,16/01/2017
X2017.02.15,2.100000143,27.5,25.39999986,2017,2,15,15/02/2017
X2017.03.16,2.400000095,86.09999847,83.69999838,2017,3,16,16/03/2017
X2017.04.16,3.700000048,76.20000458,72.50000453,2017,4,16,16/04/2017
X2017.05.16,3.5,164.6000061,161.1000061,2017,5,16,16/05/2017
X2017.06.16,4.599999905,81.70000458,77.10000467,2017,6,16,16/06/2017
X2017.07.16,4.300000191,164.6999969,160.3999968,2017,7,16,16/07/2017
X2017.08.16,3.600000143,108.3000031,104.7000029,2017,8,16,16/08/2017
X2017.09.16,3.200000048,55.29999924,52.09999919,2017,9,16,16/09/2017
X2017.10.16,2.400000095,104.4000015,102.0000014,2017,10,16,16/10/2017
X2017.11.16,1.600000024,54.79999924,53.19999921,2017,11,16,16/11/2017
X2017.12.16,1.200000048,27.39999962,26.19999957,2017,12,16,16/12/2017
X2018.01.16,1.100000024,65.20000458,64.10000455,2018,1,16,16/01/2018
X2018.02.15,1.600000024,123.8000031,122.200003,2018,2,15,15/02/2018
X2018.03.16,2,74.40000153,72.40000153,2018,3,16,16/03/2018
X2018.04.16,3.400000095,99.5,96.0999999,2018,4,16,16/04/2018
X2018.05.16,4.099999905,186,181.9000001,2018,5,16,16/05/2018
X2018.06.16,4.300000191,120,115.6999998,2018,6,16,16/06/2018
X2018.07.16,4.200000286,151,146.7999997,2018,7,16,16/07/2018
X2018.08.16,3.600000143,104.0999985,100.4999983,2018,8,16,16/08/2018
X2018.09.16,3,207.1999969,204.1999969,2018,9,16,16/09/2018
X2018.10.16,1.899999976,129.6000061,127.7000061,2018,10,16,16/10/2018
X2018.11.16,1.300000072,165.8000031,164.500003,2018,11,16,16/11/2018
X2018.12.16,1.200000048,115.3000031,114.100003,2018,12,16,16/12/2018
X2019.01.16,1.200000048,72.09999847,70.89999843,2019,1,16,16/01/2019
X2019.02.15,1.700000048,94.20000458,92.50000453,2019,2,15,15/02/2019
X2019.03.16,2.5,73.80000305,71.30000305,2019,3,16,16/03/2019
X2019.04.16,3.700000048,85.59999847,81.89999843,2019,4,16,16/04/2019
X2019.05.16,4.099999905,126.3000031,122.2000031,2019,5,16,16/05/2019
X2019.06.16,4.5,120.4000015,115.9000015,2019,6,16,16/06/2019
X2019.07.16,4.599999905,122.3000031,117.7000031,2019,7,16,16/07/2019
X2019.08.16,4.099999905,72.59999847,68.49999857,2019,8,16,16/08/2019
X2019.09.16,3.799999952,40,36.20000005,2019,9,16,16/09/2019
X2019.10.16,2.400000095,150.3000031,147.900003,2019,10,16,16/10/2019
X2019.11.16,1.700000048,45.60000229,43.90000224,2019,11,16,16/11/2019
X2019.12.16,1.200000048,75.20000458,74.00000453,2019,12,16,16/12/2019
,3.33,84.582,,2020,1,,
,3.24,82.296,,2020,2,,
,1.84,46.736,,2020,3,,
,4.56,115.824,,2020,4,,
,3.55,90.17,,2020,5,,
,5.21,132.334,,2020,6,,
,4.76,120.904,,2020,7,,
,7.17,182.118,,2020,8,,
,2.83,71.882,,2020,9,,
,3.54,89.916,,2020,10,,
,3.09,78.486,,2020,11,,
,6.33,160.782,,2020,12,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
