"XDATE","PET","PRE","CMI","year","month","day","DATE"
"X1998.01.16",0.800000011920929,121.200004577637,120.400004565716,"1998","01","16","16/01/1998"
"X1998.02.15",1.20000004768372,77.5999984741211,76.3999984264374,"1998","02","15","15/02/1998"
"X1998.03.16",1.60000002384186,109.800003051758,108.200003027916,"1998","03","16","16/03/1998"
"X1998.04.16",3.20000004768372,71.3000030517578,68.1000030040741,"1998","04","16","16/04/1998"
"X1998.05.16",3.90000009536743,114,110.099999904633,"1998","05","16","16/05/1998"
"X1998.06.16",3.20000004768372,246.199996948242,242.999996900558,"1998","06","16","16/06/1998"
"X1998.07.16",4.30000019073486,77.3000030517578,73.0000028610229,"1998","07","16","16/07/1998"
"X1998.08.16",3.70000004768372,54.7000007629395,51.0000007152558,"1998","08","16","16/08/1998"
"X1998.09.16",2.90000009536743,54.7000007629395,51.8000006675721,"1998","09","16","16/09/1998"
"X1998.10.16",2.10000014305115,107.700004577637,105.600004434586,"1998","10","16","16/10/1998"
"X1998.11.16",1.30000007152557,59.2000007629395,57.9000006914139,"1998","11","16","16/11/1998"
"X1998.12.16",1.10000002384186,33.4000015258789,32.300001502037,"1998","12","16","16/12/1998"
"X1999.01.16",0.699999988079071,162,161.300000011921,"1999","01","16","16/01/1999"
"X1999.02.15",1.20000004768372,59.6000022888184,58.4000022411347,"1999","02","15","15/02/1999"
"X1999.03.16",2,111.200004577637,109.200004577637,"1999","03","16","16/03/1999"
"X1999.04.16",3.29999995231628,20.1000003814697,16.8000004291534,"1999","04","16","16/04/1999"
"X1999.05.16",3.90000009536743,103,99.0999999046326,"1999","05","16","16/05/1999"
"X1999.06.16",4.90000009536743,34.7000007629395,29.8000006675721,"1999","06","16","16/06/1999"
"X1999.07.16",4.70000028610229,88,83.2999997138977,"1999","07","16","16/07/1999"
"X1999.08.16",3.79999995231628,79,75.2000000476837,"1999","08","16","16/08/1999"
"X1999.09.16",3,228.900009155273,225.900009155273,"1999","09","16","16/09/1999"
"X1999.10.16",2,89.0999984741211,87.0999984741211,"1999","10","16","16/10/1999"
"X1999.11.16",1.39999997615814,67.5999984741211,66.199998497963,"1999","11","16","16/11/1999"
"X1999.12.16",1,44.2000007629395,43.2000007629395,"1999","12","16","16/12/1999"
"X2000.01.16",0.800000011920929,79.5,78.6999999880791,"2000","01","16","16/01/2000"
"X2000.02.15",1.10000002384186,82.0999984741211,80.9999984502792,"2000","02","15","15/02/2000"
"X2000.03.16",2.10000014305115,93,90.8999998569489,"2000","03","16","16/03/2000"
"X2000.04.16",2.60000014305115,132.800003051758,130.200002908707,"2000","04","16","16/04/2000"
"X2000.05.16",3.60000014305115,102.599998474121,98.9999983310698,"2000","05","16","16/05/2000"
"X2000.06.16",3.70000004768372,135.699996948242,131.999996900558,"2000","06","16","16/06/2000"
"X2000.07.16",4.09999990463257,151.600006103516,147.500006198883,"2000","07","16","16/07/2000"
"X2000.08.16",3.40000009536743,86.7000045776367,83.3000044822693,"2000","08","16","16/08/2000"
"X2000.09.16",2.70000004768372,86.5,83.7999999523163,"2000","09","16","16/09/2000"
"X2000.10.16",2,58.4000015258789,56.4000015258789,"2000","10","16","16/10/2000"
