domainID,siteID,horizontalPosition,verticalPosition,date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF,publicationDate
D02,SCBI,000,060,2015-01-01,0.5202,-2.6989,6.5086,8.1841,0.0097,86394,1,20200619T013737Z
D02,SCBI,000,060,2015-01-02,3.8684,1.9604,6.2718,0.9521,0.0033,86400,1,20200619T013737Z
D02,SCBI,000,060,2015-01-03,2.04,0.0155,5.311,1.8106,0.0046,86400,1,20200619T013737Z
D02,SCBI,000,060,2015-01-04,10.9552,1.3892,19.2999,31.0428,0.019,86400,1,20200619T013737Z
D02,SCBI,000,060,2015-01-05,6.3785,2.3477,12.2866,10.9584,0.0171,37499,1,20200619T013737Z
D02,SCBI,000,060,2015-01-06,NA,NA,NA,0,NA,0,1,20200619T013737Z
D02,SCBI,000,060,2015-01-07,NA,NA,NA,0,NA,0,1,20200619T013737Z
D02,SCBI,000,060,2015-01-08,NA,NA,NA,0,NA,0,1,20200619T013737Z
D02,SCBI,000,060,2015-01-09,NA,NA,NA,0,NA,0,1,20200619T013737Z
D02,SCBI,000,060,2015-01-10,NA,NA,NA,0,NA,0,1,20200619T013737Z
D02,SCBI,000,060,2015-01-11,NA,NA,NA,0,NA,0,1,20200619T013737Z
D02,SCBI,000,060,2015-01-12,NA,NA,NA,0,NA,0,1,20200619T013737Z
D02,SCBI,000,060,2015-01-13,-3.4574,-5.156,-2.0356,0.4713,0.0038,31827,1,20200619T013737Z
D02,SCBI,000,060,2015-01-14,-6.6566,-8.3221,-4.2917,1.3671,0.004,86395,1,20200619T013737Z
D02,SCBI,000,060,2015-01-15,-2.473,-4.717,2.2472,4.0022,0.0068,86400,1,20200619T013737Z
D02,SCBI,000,060,2015-01-16,1.3988,-0.733,3.8032,1.1147,0.0036,86400,1,20200619T013737Z
D02,SCBI,000,060,2015-01-17,-1.6729,-5.7122,2.048,5.9141,0.0083,86400,1,20200619T013737Z
D02,SCBI,000,060,2015-01-18,3.2552,-0.8052,7.3352,6.4214,0.0086,86400,1,20200619T013737Z
D02,SCBI,000,060,2015-01-19,4.0032,2.5515,6.6451,1.2871,0.0039,86400,1,20200619T013737Z
D02,SCBI,000,060,2015-01-20,3.2079,0.7423,5.7658,0.8665,0.0032,86377,1,20200619T013737Z
D02,SCBI,000,060,2015-01-21,0.9568,-1.1454,4.7813,2.1144,0.0049,86400,1,20200619T013737Z
D02,SCBI,000,060,2015-01-22,1.6071,-2.6062,4.1334,2.4535,0.0053,86396,1,20200619T013737Z
D02,SCBI,000,060,2015-01-23,-0.5628,-2.2035,1.5176,1.1463,0.0036,86400,1,20200619T013737Z
D02,SCBI,000,060,2015-01-24,0.0647,-1.2015,3.4421,1.6882,0.0044,86400,1,20200619T013737Z
D02,SCBI,000,060,2015-01-25,3.054,1.4161,5.0833,1.1228,0.0036,86400,1,20200619T013737Z
D02,SCBI,000,060,2015-01-26,0.6285,-4.5802,4.728,7.1117,0.0091,86400,1,20200619T013737Z
