"Year","IrishC_QUMO"
1901,0.987
1902,1.195
1903,0.835
1904,1.084
1905,0.989
1906,1.274
1907,1.138
1908,0.839
1909,0.966
1910,0.938
1911,0.861
1912,0.634
1913,1.022
1914,0.988
1915,1.001
1916,0.703
1917,1.096
1918,0.754
1919,1.073
1920,0.727
1921,0.861
1922,1.295
1923,1.187
1924,0.909
1925,1.08
1926,1.346
1927,1.133
1928,0.909
1929,0.989
1930,0.859
1931,0.906
1932,1.351
1933,0.609
1934,1.163
1935,0.879
1936,0.897
1937,1.188
1938,0.791
1939,1.075
1940,0.759
1941,0.974
1942,1.278
1943,1.357
1944,0.965
1945,1.13
1946,1.102
1947,0.921
1948,0.88
1949,1.091
1950,0.893
1951,0.833
1952,1.287
1953,0.965
1954,1.088
1955,0.983
1956,1.238
1957,1.063
1958,0.998
1959,0.911
1960,0.978
1961,0.83
1962,1.061
1963,0.728
1964,1.169
1965,0.995
1966,0.58
1967,0.964
1968,0.824
1969,0.926
1970,0.809
1971,0.875
1972,0.995
1973,1.295
1974,0.876
1975,1.108
1976,1.428
1977,1.244
1978,0.796
1979,1.177
1980,0.866
1981,0.969
1982,0.835
1983,0.951
1984,0.979
1985,1.144
1986,0.753
1987,1.119
1988,0.791
1989,1.094
1990,0.764
1991,0.96
1992,1.159
1993,0.747
1994,0.996
1995,0.944
1996,0.997
1997,1.104
1998,0.849
1999,0.983
2000,0.82
2001,0.896
2002,1.407
2003,1.134
2004,1.061
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
