"Year","GooseE_QURU"
1901,1.014
1902,1.096
1903,1.102
1904,1.241
1905,1.071
1906,1.203
1907,0.914
1908,1.059
1909,0.878
1910,0.936
1911,0.936
1912,0.935
1913,0.806
1914,0.953
1915,0.762
1916,1.277
1917,1.068
1918,0.791
1919,0.916
1920,1.09
1921,1.001
1922,0.941
1923,0.965
1924,1.03
1925,0.997
1926,1.174
1927,1.262
1928,1.124
1929,1.108
1930,1.002
1931,1.219
1932,1.13
1933,0.89
1934,1.032
1935,1.009
1936,0.895
1937,1.099
1938,0.959
1939,1.048
1940,0.96
1941,0.813
1942,1.024
1943,0.989
1944,1.096
1945,1.069
1946,1.028
1947,1.121
1948,0.849
1949,0.818
1950,1.038
1951,1
1952,0.931
1953,0.772
1954,0.901
1955,1.284
1956,0.871
1957,0.932
1958,1.014
1959,0.908
1960,0.965
1961,1.182
1962,0.962
1963,0.951
1964,0.932
1965,0.924
1966,0.961
1967,0.958
1968,0.865
1969,1.095
1970,0.936
1971,0.976
1972,1.249
1973,0.947
1974,0.979
1975,1.158
1976,0.996
1977,1.072
1978,1.128
1979,1.053
1980,1.07
1981,0.814
1982,0.99
1983,0.791
1984,1.061
1985,1
1986,0.753
1987,1.215
1988,0.874
1989,1.295
1990,0.865
1991,0.816
1992,1.019
1993,1.188
1994,1.173
1995,0.845
1996,1.048
1997,0.91
1998,0.881
1999,1.027
2000,1.004
2001,1.096
2002,1.039
2003,0.838
2004,1.093
2005,1.145
2006,0.685
2007,1.032
2008,1.075
2009,1.115
2010,1.048
2011,1.07
2012,1.006
2013,1.068
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
