"Year","GooseE_QUMO"
1901,1.098
1902,1.175
1903,1.187
1904,1.273
1905,0.93
1906,1.151
1907,0.896
1908,0.933
1909,0.842
1910,0.82
1911,0.892
1912,0.896
1913,0.917
1914,0.869
1915,0.802
1916,1.202
1917,1.012
1918,0.659
1919,0.935
1920,1.18
1921,1.043
1922,0.932
1923,0.893
1924,1.077
1925,1.059
1926,0.954
1927,1.078
1928,1.057
1929,1.075
1930,0.929
1931,1.15
1932,1.203
1933,0.8
1934,1.135
1935,1.16
1936,0.722
1937,1.155
1938,1.075
1939,0.963
1940,1.128
1941,0.72
1942,1.311
1943,0.953
1944,1.12
1945,1.048
1946,0.97
1947,1.21
1948,0.835
1949,0.897
1950,1.133
1951,1.125
1952,1.016
1953,0.749
1954,0.929
1955,1.286
1956,0.986
1957,1.051
1958,1.055
1959,0.797
1960,0.999
1961,1.1
1962,0.769
1963,0.95
1964,0.876
1965,0.996
1966,0.955
1967,0.918
1968,0.87
1969,1.142
1970,0.957
1971,1.097
1972,1.259
1973,0.912
1974,1.091
1975,1.043
1976,1.111
1977,1.005
1978,1.036
1979,0.959
1980,1.052
1981,0.628
1982,0.949
1983,0.881
1984,1.202
1985,0.919
1986,0.937
1987,1.148
1988,0.917
1989,1.145
1990,0.819
1991,0.78
1992,1.018
1993,1.025
1994,1.155
1995,0.864
1996,1.183
1997,0.864
1998,1.158
1999,1.042
2000,1.153
2001,0.945
2002,1.125
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
