"Year","LuckyS_QURU"
1901,0.769
1902,0.951
1903,0.97
1904,1.124
1905,1.017
1906,1.249
1907,1.076
1908,1.051
1909,0.79
1910,0.757
1911,0.893
1912,0.951
1913,0.996
1914,1.246
1915,0.846
1916,1.124
1917,1.024
1918,0.902
1919,0.903
1920,1.32
1921,0.913
1922,1.088
1923,0.701
1924,1.183
1925,1.092
1926,1.019
1927,1.072
1928,0.973
1929,0.839
1930,0.69
1931,0.903
1932,1.105
1933,0.868
1934,0.99
1935,1.061
1936,0.828
1937,1.088
1938,1.108
1939,0.922
1940,0.735
1941,0.972
1942,1.147
1943,1.094
1944,1.015
1945,0.979
1946,1.055
1947,1.331
1948,1.02
1949,0.58
1950,1.147
1951,1.347
1952,1.081
1953,1.193
1954,0.874
1955,1.096
1956,1.002
1957,0.911
1958,1.08
1959,0.924
1960,1.061
1961,0.999
1962,0.669
1963,1.029
1964,1.172
1965,0.729
1966,0.717
1967,0.639
1968,0.992
1969,1.196
1970,0.901
1971,0.763
1972,1.151
1973,0.771
1974,1.163
1975,1.371
1976,1.274
1977,1.105
1978,1.073
1979,1.012
1980,1.161
1981,0.581
1982,1.034
1983,0.908
1984,0.975
1985,1.034
1986,0.883
1987,1.029
1988,0.976
1989,0.932
1990,1.249
1991,1.001
1992,1.25
1993,0.951
1994,1.017
1995,0.961
1996,1.036
1997,0.908
1998,0.949
1999,0.776
2000,1.121
2001,1.059
2002,0.885
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
