"Year","Lincol_NYSY"
1901,1.128
1902,1.13
1903,1.036
1904,1.141
1905,0.918
1906,0.942
1907,1.014
1908,0.962
1909,0.997
1910,1.209
1911,0.958
1912,0.87
1913,0.987
1914,0.97
1915,1.116
1916,1.077
1917,0.784
1918,0.866
1919,1.214
1920,1.02
1921,1.1
1922,0.923
1923,0.972
1924,0.894
1925,0.876
1926,0.87
1927,0.881
1928,1.048
1929,0.82
1930,0.906
1931,1.137
1932,0.941
1933,1.066
1934,0.875
1935,1.089
1936,0.711
1937,1.066
1938,0.974
1939,0.971
1940,1.018
1941,1.015
1942,0.921
1943,1.14
1944,0.755
1945,1.021
1946,1.099
1947,1.152
1948,0.86
1949,0.979
1950,0.992
1951,1.289
1952,1.103
1953,0.815
1954,1.194
1955,1.109
1956,0.691
1957,0.851
1958,0.994
1959,1.151
1960,0.877
1961,1.116
1962,0.972
1963,1.135
1964,0.949
1965,0.978
1966,1.176
1967,0.994
1968,1.152
1969,1.069
1970,1.048
1971,1.019
1972,1.106
1973,1.047
1974,0.942
1975,1.154
1976,0.978
1977,0.98
1978,1.027
1979,0.93
1980,1.054
1981,1.184
1982,0.917
1983,0.995
1984,0.842
1985,0.91
1986,1.141
1987,1.037
1988,0.917
1989,0.835
1990,1.035
1991,0.888
1992,0.891
1993,1.08
1994,0.896
1995,0.879
1996,0.915
1997,1.094
1998,0.928
1999,0.952
2000,0.949
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
