"Year","IL_Gia_QUAL"
1901,0.806
1902,0.909
1903,1.097
1904,1.007
1905,0.929
1906,0.932
1907,1.155
1908,0.993
1909,1.188
1910,1.206
1911,0.694
1912,1.463
1913,0.927
1914,0.639
1915,1.33
1916,1.204
1917,1.017
1918,0.723
1919,1.132
1920,1.001
1921,0.913
1922,1.015
1923,0.964
1924,1.206
1925,0.854
1926,0.764
1927,1.183
1928,1.184
1929,1.017
1930,0.887
1931,0.893
1932,1.003
1933,1.021
1934,0.886
1935,1.077
1936,0.719
1937,1.078
1938,1.281
1939,0.991
1940,0.897
1941,0.731
1942,1.034
1943,1.032
1944,0.844
1945,1.101
1946,1.055
1947,1.05
1948,1.054
1949,1.043
1950,1.044
1951,1.272
1952,0.862
1953,0.862
1954,0.854
1955,1.186
1956,0.81
1957,1.059
1958,1.052
1959,0.907
1960,1.034
1961,1.033
1962,0.988
1963,0.994
1964,0.792
1965,1.086
1966,0.971
1967,0.979
1968,1.054
1969,1.052
1970,0.963
1971,0.947
1972,0.882
1973,1.143
1974,1.051
1975,1.147
1976,1.184
1977,0.902
1978,1.037
1979,1
1980,0.856
1981,0.714
1982,1.169
1983,1.098
1984,0.777
1985,0.973
1986,1.038
1987,1.056
1988,0.763
1989,1.078
1990,1.008
1991,0.97
1992,1.038
1993,1.23
1994,1.073
1995,1.169
1996,0.953
1997,1.171
1998,1.043
1999,0.976
2000,0.976
2001,1.17
2002,1.04
2003,1.082
2004,0.999
2005,0.955
2006,1.013
2007,0.835
2008,0.906
2009,0.949
2010,1.111
2011,0.974
2012,0.74
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
