"Year","Murphy_QUAL"
1901,1.126
1902,1.142
1903,1.07
1904,1.119
1905,0.963
1906,1.198
1907,1.224
1908,0.947
1909,1.147
1910,0.953
1911,0.678
1912,1.375
1913,1.088
1914,0.673
1915,1.254
1916,1.085
1917,1.12
1918,0.84
1919,1.07
1920,1.16
1921,0.98
1922,1.138
1923,0.896
1924,1.19
1925,0.918
1926,1.053
1927,1.049
1928,1.066
1929,0.827
1930,0.81
1931,0.78
1932,1.067
1933,0.994
1934,0.839
1935,1.158
1936,0.841
1937,1.324
1938,0.987
1939,0.945
1940,1.112
1941,0.967
1942,1.117
1943,0.868
1944,0.973
1945,1.01
1946,1.146
1947,0.904
1948,1.064
1949,1.074
1950,1.187
1951,0.957
1952,0.881
1953,1.115
1954,0.89
1955,1.11
1956,1.076
1957,1.01
1958,1.105
1959,0.716
1960,0.876
1961,1.102
1962,0.811
1963,0.963
1964,1.097
1965,0.87
1966,0.812
1967,0.999
1968,1.054
1969,1.012
1970,0.727
1971,1.065
1972,1.025
1973,0.947
1974,1.148
1975,1.128
1976,0.976
1977,0.635
1978,1.221
1979,0.896
1980,1.205
1981,0.813
1982,0.902
1983,1.162
1984,0.895
1985,1.174
1986,0.93
1987,0.975
1988,0.872
1989,1.091
1990,1.036
1991,0.689
1992,1.077
1993,1.031
1994,1.063
1995,0.99
1996,0.949
1997,0.932
1998,0.993
1999,NA
2000,NA
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
