"Year","MountA_QUMO"
1901,1.073
1902,1.298
1903,1.079
1904,1.165
1905,0.97
1906,1.488
1907,0.954
1908,0.904
1909,0.769
1910,0.7
1911,0.863
1912,1.039
1913,0.96
1914,1.1
1915,0.857
1916,0.937
1917,0.853
1918,0.973
1919,1.02
1920,0.916
1921,1.142
1922,0.706
1923,0.984
1924,1.082
1925,1.244
1926,0.891
1927,1.102
1928,1.18
1929,0.778
1930,0.696
1931,1.009
1932,0.912
1933,1.016
1934,1.143
1935,0.904
1936,0.993
1937,1.072
1938,0.892
1939,0.775
1940,0.997
1941,0.814
1942,1.168
1943,1.048
1944,1.047
1945,0.933
1946,0.924
1947,1.132
1948,0.974
1949,0.926
1950,1.069
1951,1.066
1952,0.967
1953,0.852
1954,1.079
1955,0.919
1956,1.004
1957,0.814
1958,1.062
1959,0.913
1960,1.01
1961,1.093
1962,1.027
1963,1.159
1964,0.928
1965,0.988
1966,1.113
1967,1.214
1968,1.063
1969,1.045
1970,0.973
1971,0.919
1972,1.146
1973,0.976
1974,1.128
1975,1.133
1976,0.843
1977,1.059
1978,1.043
1979,0.948
1980,1.263
1981,0.955
1982,1.077
1983,1.053
1984,0.989
1985,1.036
1986,1.041
1987,1.108
1988,1.123
1989,1.083
1990,0.906
1991,0.964
1992,1.008
1993,0.784
1994,0.738
1995,0.992
1996,0.921
1997,0.898
1998,1.095
1999,0.868
2000,0.991
2001,0.93
2002,1.205
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
