"Year","FiddleQURU"
1901,1.038
1902,1.064
1903,1.118
1904,1.071
1905,1.026
1906,1.117
1907,0.946
1908,0.977
1909,1.084
1910,0.998
1911,0.815
1912,0.983
1913,0.985
1914,0.917
1915,1.233
1916,1.128
1917,1.042
1918,0.784
1919,1.158
1920,1.036
1921,1.01
1922,1.049
1923,0.696
1924,1.243
1925,0.879
1926,0.725
1927,1.114
1928,1.126
1929,1.076
1930,0.846
1931,1.021
1932,0.883
1933,0.945
1934,1.167
1935,1.251
1936,0.783
1937,1.072
1938,1.264
1939,0.942
1940,1.199
1941,1.105
1942,1.122
1943,1.154
1944,0.892
1945,0.977
1946,1.072
1947,0.945
1948,1.141
1949,1.086
1950,1.087
1951,1.171
1952,0.877
1953,1.022
1954,0.912
1955,0.894
1956,0.908
1957,0.963
1958,1.057
1959,0.894
1960,1.052
1961,1.01
1962,0.969
1963,0.67
1964,0.811
1965,1.061
1966,0.758
1967,1.004
1968,1.138
1969,1.117
1970,0.813
1971,0.969
1972,0.849
1973,0.885
1974,1.082
1975,1.062
1976,1.041
1977,0.86
1978,1.274
1979,1.067
1980,0.995
1981,0.912
1982,1.094
1983,0.867
1984,0.772
1985,1.048
1986,0.992
1987,0.893
1988,0.795
1989,1.036
1990,1.102
1991,0.933
1992,1.045
1993,1.004
1994,1.047
1995,1.198
1996,1.098
1997,0.899
1998,1.143
1999,0.977
2000,1.151
2001,1.109
2002,0.776
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
