"Year","Fiddle_MAAC"
1901,1.085
1902,1.012
1903,1.173
1904,0.995
1905,1.096
1906,1.13
1907,0.692
1908,1.009
1909,1.073
1910,1.116
1911,0.928
1912,1.093
1913,1.137
1914,0.991
1915,1.207
1916,1.19
1917,0.878
1918,0.693
1919,0.845
1920,0.841
1921,1.109
1922,1.152
1923,0.726
1924,1.171
1925,1.106
1926,0.635
1927,1.064
1928,1.164
1929,1.165
1930,0.853
1931,0.962
1932,0.916
1933,1.042
1934,1.111
1935,1.238
1936,0.729
1937,1.025
1938,1.175
1939,0.878
1940,1.108
1941,1.039
1942,1.099
1943,1.134
1944,0.608
1945,1.047
1946,0.763
1947,0.943
1948,1.131
1949,1.253
1950,1.064
1951,1.264
1952,0.932
1953,1.251
1954,0.892
1955,1.111
1956,0.822
1957,1.101
1958,0.991
1959,0.837
1960,0.997
1961,0.974
1962,0.962
1963,0.602
1964,0.97
1965,0.989
1966,0.635
1967,0.87
1968,1.055
1969,1.055
1970,0.788
1971,1.155
1972,1.055
1973,0.981
1974,1.097
1975,1.137
1976,0.871
1977,0.975
1978,1.288
1979,1.076
1980,1.354
1981,0.865
1982,0.952
1983,0.792
1984,0.79
1985,0.937
1986,1.03
1987,0.876
1988,0.674
1989,0.869
1990,0.976
1991,1.096
1992,0.934
1993,1.325
1994,1.092
1995,1.267
1996,0.863
1997,1.041
1998,1.154
1999,0.984
2000,1
2001,1.087
2002,0.698
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
