"Year","MO_Flu_ACSA"
1901,1.354
1902,1.159
1903,0.889
1904,0.922
1905,0.998
1906,0.89
1907,1.006
1908,0.785
1909,1.129
1910,0.811
1911,1.126
1912,0.795
1913,0.947
1914,1.132
1915,1.376
1916,0.855
1917,0.77
1918,1.011
1919,1.104
1920,0.695
1921,1.011
1922,0.976
1923,1.115
1924,1.27
1925,0.861
1926,1.146
1927,1.131
1928,1.136
1929,1.077
1930,0.967
1931,0.923
1932,1.151
1933,0.806
1934,0.563
1935,1.547
1936,0.453
1937,1.068
1938,0.916
1939,0.743
1940,1.053
1941,0.845
1942,1.187
1943,0.799
1944,0.87
1945,1.448
1946,0.986
1947,1.721
1948,1.196
1949,1.146
1950,0.878
1951,1.236
1952,0.61
1953,0.906
1954,1.088
1955,1.233
1956,0.597
1957,0.638
1958,0.571
1959,0.728
1960,1.034
1961,0.952
1962,0.898
1963,0.813
1964,1.247
1965,1.29
1966,0.82
1967,0.92
1968,0.827
1969,1.239
1970,1.105
1971,0.961
1972,0.724
1973,1.29
1974,0.874
1975,0.969
1976,0.707
1977,1.037
1978,1.159
1979,0.955
1980,1.05
1981,1.369
1982,1.264
1983,0.985
1984,0.869
1985,1.211
1986,0.916
1987,0.935
1988,0.873
1989,1.006
1990,0.904
1991,0.635
1992,1.129
1993,1.422
1994,0.998
1995,1.124
1996,0.769
1997,1.277
1998,1.216
1999,0.964
2000,1.129
2001,1.381
2002,1.076
2003,1.16
2004,1.108
2005,0.795
2006,0.51
2007,0.771
2008,1.095
2009,0.858
2010,0.913
2011,0.984
2012,0.732
2013,0.978
2014,1.136
2015,0.94
2016,NA
2017,NA
2018,NA
2019,NA
