"Year","ThreeP_CATO"
1901,1.025
1902,0.885
1903,1.026
1904,1.086
1905,1.039
1906,0.745
1907,1.037
1908,1.24
1909,0.858
1910,0.945
1911,0.53
1912,1.113
1913,0.878
1914,0.775
1915,1.024
1916,0.952
1917,1.028
1918,0.689
1919,0.903
1920,1.285
1921,1.401
1922,1.15
1923,1.262
1924,1.386
1925,0.717
1926,1.107
1927,1.213
1928,1.086
1929,0.936
1930,0.857
1931,0.864
1932,1.074
1933,1.035
1934,0.732
1935,1.382
1936,0.772
1937,1.111
1938,1.23
1939,0.972
1940,0.878
1941,0.625
1942,0.887
1943,1.062
1944,0.796
1945,1.344
1946,0.957
1947,1.008
1948,0.843
1949,0.966
1950,1.057
1951,1.229
1952,0.729
1953,0.907
1954,0.781
1955,0.912
1956,0.893
1957,1.253
1958,0.856
1959,0.94
1960,0.983
1961,0.779
1962,0.868
1963,0.931
1964,1.157
1965,1.387
1966,1.146
1967,1.072
1968,1.074
1969,0.91
1970,1.149
1971,1.138
1972,0.913
1973,1.164
1974,1.045
1975,0.98
1976,0.928
1977,1.013
1978,1.165
1979,0.83
1980,0.858
1981,0.932
1982,0.986
1983,0.994
1984,0.97
1985,1.21
1986,1.069
1987,0.999
1988,0.871
1989,0.921
1990,1.1
1991,0.905
1992,1.013
1993,0.974
1994,0.911
1995,1.114
1996,1.005
1997,1.071
1998,0.836
1999,1.135
2000,1.024
2001,0.849
2002,1.035
2003,0.973
2004,1.035
2005,0.957
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
