"Year","Potoma_QUMO"
1901,1.159
1902,0.826
1903,1.08
1904,1.266
1905,0.989
1906,1.079
1907,1.031
1908,1.027
1909,0.977
1910,0.925
1911,0.804
1912,0.996
1913,1.064
1914,0.994
1915,1.227
1916,1.192
1917,1.052
1918,0.712
1919,1.006
1920,0.976
1921,1.107
1922,1
1923,0.992
1924,1.149
1925,0.95
1926,1.093
1927,1.112
1928,0.963
1929,0.912
1930,0.851
1931,0.854
1932,0.882
1933,1.01
1934,1.131
1935,1.032
1936,0.799
1937,1.225
1938,1.138
1939,0.984
1940,0.992
1941,1.045
1942,0.988
1943,1.076
1944,0.909
1945,1.147
1946,1.002
1947,1.02
1948,0.745
1949,0.993
1950,1.032
1951,1.056
1952,0.858
1953,0.934
1954,0.955
1955,0.795
1956,1.073
1957,0.925
1958,1.022
1959,0.898
1960,0.919
1961,1.02
1962,0.961
1963,1.062
1964,0.885
1965,0.902
1966,0.934
1967,1.039
1968,0.965
1969,0.983
1970,1.14
1971,1.066
1972,1.3
1973,1.178
1974,1.08
1975,1.063
1976,1.102
1977,0.829
1978,0.949
1979,1.045
1980,1.046
1981,0.902
1982,0.921
1983,1.154
1984,0.927
1985,0.993
1986,0.866
1987,0.97
1988,1.027
1989,0.913
1990,1.012
1991,0.923
1992,1.18
1993,0.991
1994,1.029
1995,1.118
1996,1.009
1997,0.919
1998,0.97
1999,0.78
2000,0.992
2001,1.154
2002,1.012
2003,1
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
