"Year","IL_New_ACSA"
1901,NA
1902,NA
1903,NA
1904,0.977
1905,0.895
1906,0.839
1907,0.855
1908,0.871
1909,0.896
1910,0.654
1911,1.035
1912,0.873
1913,1.101
1914,1.01
1915,1.44
1916,0.75
1917,1.192
1918,1.04
1919,0.997
1920,1.162
1921,1.005
1922,0.945
1923,0.97
1924,0.98
1925,1.074
1926,1.074
1927,1.188
1928,1.137
1929,1.049
1930,1.164
1931,1.059
1932,1.09
1933,0.918
1934,0.894
1935,0.948
1936,0.741
1937,1.169
1938,0.993
1939,1.066
1940,0.917
1941,0.918
1942,0.951
1943,0.893
1944,0.751
1945,1.179
1946,0.762
1947,0.969
1948,0.797
1949,1.044
1950,0.92
1951,0.735
1952,0.909
1953,0.668
1954,0.908
1955,1.043
1956,0.775
1957,1.088
1958,1.273
1959,0.834
1960,1.265
1961,0.703
1962,1.201
1963,0.846
1964,0.978
1965,1.198
1966,0.744
1967,1.089
1968,1.171
1969,0.832
1970,0.816
1971,0.848
1972,0.961
1973,1.097
1974,1.107
1975,1.2
1976,0.712
1977,1.025
1978,1.168
1979,1.009
1980,1.022
1981,1.455
1982,1.181
1983,0.879
1984,1.03
1985,1.192
1986,1.165
1987,0.75
1988,0.527
1989,1.131
1990,1.01
1991,0.822
1992,1.223
1993,1.117
1994,1.069
1995,0.969
1996,0.536
1997,0.894
1998,1.235
1999,1.089
2000,1.26
2001,0.957
2002,0.921
2003,1.288
2004,0.907
2005,0.795
2006,0.819
2007,0.804
2008,1.235
2009,1.008
2010,1.325
2011,0.862
2012,0.554
2013,0.843
2014,1.046
2015,1.098
2016,0.926
2017,NA
2018,NA
2019,NA
