"Year","Prospe_QURU"
1901,0.991
1902,1.036
1903,1.078
1904,1.263
1905,1.192
1906,1.241
1907,0.803
1908,0.846
1909,0.854
1910,0.925
1911,0.941
1912,0.861
1913,0.895
1914,0.896
1915,1.121
1916,1.226
1917,1.037
1918,1.001
1919,0.978
1920,1.185
1921,1.041
1922,1.013
1923,0.811
1924,1.015
1925,0.904
1926,1.169
1927,1.097
1928,1.123
1929,1.12
1930,0.993
1931,1.131
1932,1.021
1933,0.915
1934,0.989
1935,0.999
1936,0.853
1937,1.081
1938,0.946
1939,0.94
1940,0.847
1941,0.739
1942,1.1
1943,0.952
1944,1.119
1945,0.946
1946,0.997
1947,1.192
1948,0.963
1949,0.755
1950,1.001
1951,1.135
1952,0.93
1953,0.801
1954,1.016
1955,1.244
1956,0.981
1957,0.977
1958,1.039
1959,0.956
1960,1.017
1961,1.119
1962,0.937
1963,0.986
1964,0.891
1965,0.885
1966,0.924
1967,0.959
1968,1.07
1969,1.071
1970,0.968
1971,1.045
1972,1.219
1973,0.999
1974,1.021
1975,1.109
1976,0.967
1977,0.957
1978,1.027
1979,1.042
1980,0.929
1981,0.746
1982,1.135
1983,0.917
1984,1.031
1985,1.032
1986,0.89
1987,1.202
1988,1.067
1989,0.904
1990,1.016
1991,0.912
1992,1.014
1993,1.058
1994,1.063
1995,0.957
1996,1.086
1997,0.994
1998,1.006
1999,0.907
2000,0.962
2001,1.084
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
