year	num	seg	age	raw	std	res	ars
   1897	   3.	 116.000	   1.000	   1.479	   0.992	   0.999	   0.996
   1898	   4.	 115.750	   1.750	   1.405	   0.847	   0.925	   0.921
   1899	   6.	 115.167	   2.167	   2.208	   1.013	   1.063	   1.033
   1900	   6.	 115.167	   3.167	   1.328	   0.465	   0.345	   0.388
   1901	   7.	 114.714	   3.714	   1.472	   0.580	   0.962	   0.737
   1902	   7.	 114.714	   4.714	   1.982	   1.139	   1.429	   1.342
   1903	   7.	 114.714	   5.714	   2.157	   1.354	   1.261	   1.387
   1904	   8.	 114.000	   6.000	   1.998	   1.247	   1.082	   1.217
   1905	   8.	 114.000	   7.000	   1.901	   1.201	   1.072	   1.147
   1906	   9.	 108.111	   7.222	   1.993	   1.447	   1.383	   1.445
   1907	   9.	 108.111	   8.222	   1.764	   1.322	   1.060	   1.213
   1908	   9.	 108.111	   9.222	   1.576	   1.134	   0.975	   1.047
   1909	   9.	 108.111	  10.222	   1.442	   1.036	   0.985	   0.999
   1910	   9.	 108.111	  11.222	   1.343	   0.982	   0.929	   0.927
   1911	   9.	 108.111	  12.222	   1.200	   0.815	   0.842	   0.816
   1912	   9.	 108.111	  13.222	   1.036	   0.727	   0.790	   0.727
   1913	   9.	 108.111	  14.222	   1.062	   0.722	   0.927	   0.829
   1914	  10.	 107.200	  13.800	   1.084	   1.012	   1.052	   0.989
   1915	  10.	 107.200	  14.800	   0.991	   0.790	   0.857	   0.852
   1916	  10.	 107.200	  15.800	   1.125	   0.894	   1.044	   0.990
   1917	  10.	 107.200	  16.800	   1.122	   1.004	   1.042	   1.036
   1918	  10.	 107.200	  17.800	   1.336	   1.217	   1.224	   1.239
   1919	  10.	 107.200	  18.800	   0.933	   1.018	   0.921	   1.002
   1920	  11.	 105.909	  18.091	   1.098	   1.341	   1.279	   1.284
   1921	  11.	 105.909	  19.091	   1.044	   1.008	   0.855	   0.950
   1922	  11.	 105.909	  20.091	   1.457	   1.373	   1.316	   1.304
   1923	  11.	 105.909	  21.091	   1.173	   1.095	   0.905	   1.007
   1924	  12.	 104.500	  20.333	   1.250	   1.134	   1.125	   1.127
   1925	  13.	 103.231	  19.769	   1.162	   1.084	   1.012	   1.055
   1926	  13.	 103.231	  20.769	   1.111	   1.053	   1.030	   1.047
   1927	  13.	 103.231	  21.769	   1.036	   1.017	   0.914	   0.928
   1928	  13.	 103.231	  22.769	   1.096	   1.116	   1.099	   1.072
   1929	  29.	  93.172	  11.207	   1.586	   0.641	   0.618	   0.650
   1930	  36.	  90.361	  10.028	   1.810	   0.838	   1.018	   0.890
   1931	  40.	  89.625	  10.025	   2.355	   1.532	   1.535	   1.512
   1932	  41.	  89.415	  10.780	   2.011	   1.148	   0.942	   1.115
   1933	  44.	  88.659	  11.045	   1.872	   0.952	   0.881	   0.919
   1934	  48.	  87.937	  11.125	   1.778	   0.957	   0.925	   0.895
   1935	  50.	  87.580	  11.680	   1.838	   0.925	   0.968	   0.928
   1936	  53.	  87.038	  12.019	   1.843	   0.923	   0.982	   0.955
   1937	  55.	  86.673	  12.582	   1.841	   0.938	   0.974	   0.956
   1938	  55.	  86.673	  13.582	   1.894	   1.001	   0.996	   0.978
   1939	  55.	  86.673	  14.582	   1.923	   1.197	   1.144	   1.136
   1940	  58.	  86.052	  14.828	   1.795	   0.995	   0.963	   1.008
   1941	  58.	  86.052	  15.828	   1.740	   0.999	   1.011	   1.012
   1942	  58.	  86.052	  16.828	   1.681	   0.979	   0.990	   0.992
   1943	  59.	  85.780	  17.542	   1.389	   0.661	   0.671	   0.673
   1944	  59.	  85.780	  18.542	   1.656	   0.978	   1.127	   1.007
   1945	  59.	  85.780	  19.542	   1.379	   0.707	   0.739	   0.743
   1946	  59.	  85.780	  20.542	   1.464	   0.872	   1.013	   0.919
   1947	  59.	  85.780	  21.542	   1.704	   1.278	   1.332	   1.309
   1948	  59.	  85.780	  22.542	   1.511	   1.030	   0.937	   1.042
   1949	  59.	  85.780	  23.542	   1.319	   0.836	   0.830	   0.843
   1950	  59.	  85.780	  24.542	   1.492	   1.144	   1.190	   1.134
   1951	  59.	  85.780	  25.542	   1.437	   1.196	   1.125	   1.172
   1952	  59.	  85.780	  26.542	   1.314	   1.026	   0.944	   1.001
   1953	  59.	  85.780	  27.542	   1.395	   1.142	   1.114	   1.114
   1954	  59.	  85.780	  28.542	   1.153	   0.833	   0.763	   0.802
   1955	  59.	  85.780	  29.542	   1.222	   0.996	   1.048	   0.976
   1956	  59.	  85.780	  30.542	   1.210	   0.997	   0.978	   0.967
   1957	  59.	  85.780	  31.542	   1.217	   1.023	   1.007	   0.994
   1958	  59.	  85.780	  32.542	   1.303	   1.168	   1.170	   1.168
   1959	  59.	  85.780	  33.542	   1.025	   0.846	   0.785	   0.842
   1960	  59.	  85.780	  34.542	   1.235	   1.161	   1.204	   1.148
   1961	  59.	  85.780	  35.542	   1.263	   1.254	   1.207	   1.262
   1962	  59.	  85.780	  36.542	   1.161	   1.092	   1.011	   1.100
   1963	  59.	  85.780	  37.542	   1.266	   1.284	   1.196	   1.233
   1964	  59.	  85.780	  38.542	   1.287	   1.282	   1.153	   1.236
   1965	  59.	  85.780	  39.542	   1.082	   0.997	   0.887	   0.966
   1966	  59.	  85.780	  40.542	   0.832	   0.726	   0.721	   0.712
   1967	  58.	  86.207	  41.190	   0.736	   0.661	   0.757	   0.659
   1968	  58.	  86.207	  42.190	   0.697	   0.606	   0.730	   0.615
   1969	  58.	  86.207	  43.190	   0.800	   0.754	   0.952	   0.812
   1970	  58.	  86.207	  44.190	   0.783	   0.736	   0.838	   0.772
   1971	  58.	  86.207	  45.190	   1.081	   1.091	   1.217	   1.135
   1972	  58.	  86.207	  46.190	   1.151	   1.210	   1.162	   1.210
   1973	  58.	  86.207	  47.190	   1.017	   1.054	   0.961	   1.032
   1974	  58.	  86.207	  48.190	   0.976	   0.937	   0.950	   0.959
   1975	  58.	  86.207	  49.190	   1.093	   1.191	   1.189	   1.176
   1976	  58.	  86.207	  50.190	   1.019	   1.063	   0.980	   1.039
   1977	  58.	  86.207	  51.190	   0.837	   0.831	   0.836	   0.848
   1978	  58.	  86.207	  52.190	   0.982	   1.038	   1.104	   1.049
   1979	  58.	  86.207	  53.190	   1.022	   1.142	   1.133	   1.150
   1980	  58.	  86.207	  54.190	   1.068	   1.188	   1.134	   1.187
   1981	  58.	  86.207	  55.190	   0.751	   0.746	   0.680	   0.747
   1982	  58.	  86.207	  56.190	   0.686	   0.747	   0.861	   0.772
   1983	  58.	  86.207	  57.190	   0.841	   0.970	   1.113	   1.029
   1984	  58.	  86.207	  58.190	   0.803	   0.940	   0.924	   0.932
   1985	  58.	  86.207	  59.190	   0.823	   0.968	   1.023	   0.997
   1986	  58.	  86.207	  60.190	   0.783	   0.927	   0.928	   0.924
   1987	  58.	  86.207	  61.190	   0.794	   0.951	   0.992	   0.963
   1988	  58.	  86.207	  62.190	   0.776	   0.951	   0.974	   0.959
   1989	  58.	  86.207	  63.190	   0.981	   1.265	   1.272	   1.260
   1990	  58.	  86.207	  64.190	   0.841	   1.055	   0.997	   1.085
   1991	  58.	  86.207	  65.190	   0.791	   1.011	   1.007	   1.035
   1992	  58.	  86.207	  66.190	   1.061	   1.399	   1.347	   1.366
   1993	  58.	  86.207	  67.190	   0.873	   1.158	   1.021	   1.147
   1994	  58.	  86.207	  68.190	   0.713	   0.954	   0.902	   0.951
   1995	  58.	  86.207	  69.190	   0.588	   0.830	   0.854	   0.836
   1996	  58.	  86.207	  70.190	   0.719	   1.017	   1.081	   1.021
   1997	  58.	  86.207	  71.190	   0.664	   0.910	   0.947	   0.952
   1998	  58.	  86.207	  72.190	   0.735	   1.104	   1.112	   1.094
   1999	  58.	  86.207	  73.190	   0.458	   0.755	   0.738	   0.772
   2000	  57.	  86.491	  74.246	   0.682	   0.981	   1.101	   1.017
   2001	  56.	  86.768	  75.304	   0.538	   0.807	   0.833	   0.838
   2002	  56.	  86.768	  76.304	   0.567	   0.857	   0.935	   0.876
   2003	  56.	  86.768	  77.304	   0.473	   0.782	   0.856	   0.811
   2004	  55.	  87.000	  78.364	   0.459	   0.763	   0.861	   0.794
   2005	  55.	  87.000	  79.364	   0.445	   0.743	   0.833	   0.761
   2006	  54.	  87.259	  80.481	   0.452	   0.761	   0.875	   0.790
   2007	  54.	  87.259	  81.481	   0.697	   1.092	   1.173	   1.097
   2008	  54.	  87.259	  82.481	   0.750	   1.188	   1.136	   1.170
   2009	  54.	  87.259	  83.481	   0.803	   1.221	   1.164	   1.225
   2010	  54.	  87.259	  84.481	   0.731	   1.135	   1.007	   1.083
   2011	  54.	  87.259	  85.481	   0.708	   1.073	   1.028	   1.055
   2012	  54.	  87.259	  86.481	   0.558	   0.897	   0.853	   0.870
   2013	  40.	  82.000	  81.950	   0.546	   0.947	   0.978	   0.930
   2014	   2.	  75.000	  75.000	   1.075	   1.093	   1.052	   1.025
