"Year","GE3_FAGR"
1901,1.078
1902,1.157
1903,1.184
1904,1.033
1905,0.876
1906,1.047
1907,0.675
1908,1.08
1909,0.963
1910,0.993
1911,0.903
1912,0.993
1913,1.016
1914,1.039
1915,1.165
1916,1.314
1917,1.004
1918,0.855
1919,0.91
1920,1.276
1921,1.127
1922,1.071
1923,0.976
1924,1.211
1925,1.106
1926,0.993
1927,1.006
1928,0.911
1929,0.871
1930,0.89
1931,1
1932,1.086
1933,0.965
1934,0.914
1935,1.176
1936,0.321
1937,0.858
1938,0.89
1939,0.901
1940,0.869
1941,0.982
1942,1.088
1943,1.06
1944,0.971
1945,0.857
1946,1.102
1947,0.907
1948,0.738
1949,0.97
1950,1.157
1951,1.173
1952,1.042
1953,1.017
1954,1.227
1955,1.403
1956,1.112
1957,1.13
1958,1.153
1959,1.047
1960,1.068
1961,1.163
1962,0.964
1963,1
1964,0.912
1965,1.092
1966,1.034
1967,1.041
1968,0.863
1969,0.951
1970,0.971
1971,0.845
1972,1.021
1973,0.868
1974,0.978
1975,1.078
1976,0.925
1977,1.163
1978,1.076
1979,1.122
1980,0.972
1981,0.563
1982,1.26
1983,0.68
1984,1.121
1985,1.185
1986,1.048
1987,1.026
1988,0.932
1989,1.198
1990,1.009
1991,0.913
1992,1.164
1993,1.072
1994,0.93
1995,0.853
1996,0.896
1997,1.01
1998,0.996
1999,1.068
2000,1.06
2001,1.294
2002,0.924
2003,0.755
2004,1.106
2005,1.032
2006,0.901
2007,0.978
2008,0.772
2009,1.09
2010,0.966
2011,0.897
2012,1.034
2013,0.863
2014,0.77
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
