"Year","IN_MMS_LITU"
1901,NA
1902,NA
1903,NA
1904,NA
1905,NA
1906,NA
1907,NA
1908,NA
1909,NA
1910,NA
1911,NA
1912,NA
1913,NA
1914,NA
1915,NA
1916,NA
1917,NA
1918,NA
1919,NA
1920,NA
1921,NA
1922,NA
1923,NA
1924,NA
1925,NA
1926,NA
1927,NA
1928,1.132
1929,1.194
1930,0.966
1931,0.993
1932,1.119
1933,0.865
1934,1.029
1935,1.098
1936,0.761
1937,1.074
1938,0.945
1939,0.953
1940,0.936
1941,0.761
1942,1.023
1943,0.957
1944,0.895
1945,1.211
1946,0.948
1947,1.075
1948,0.972
1949,0.913
1950,0.755
1951,0.805
1952,1.167
1953,1.154
1954,0.927
1955,1.224
1956,0.995
1957,1.21
1958,1.237
1959,0.856
1960,1.146
1961,0.898
1962,0.679
1963,0.945
1964,0.78
1965,0.878
1966,0.721
1967,0.84
1968,1.381
1969,1.273
1970,0.841
1971,1.277
1972,1.078
1973,1.385
1974,1.126
1975,1.143
1976,0.984
1977,0.76
1978,0.988
1979,1.165
1980,1.208
1981,0.975
1982,1.322
1983,0.592
1984,0.611
1985,1.029
1986,1.116
1987,1.379
1988,0.387
1989,1.003
1990,1.173
1991,0.833
1992,1.361
1993,1.276
1994,0.647
1995,0.941
1996,0.64
1997,0.652
1998,1.317
1999,0.999
2000,1.138
2001,1.236
2002,0.971
2003,1.031
2004,0.989
2005,1.02
2006,1.17
2007,0.773
2008,1.203
2009,1.15
2010,1.191
2011,0.956
2012,0.621
2013,0.834
2014,0.698
2015,1.364
2016,NA
2017,NA
2018,NA
2019,NA
