"Year","IN_MMS_QUAL"
1901,NA
1902,NA
1903,NA
1904,NA
1905,NA
1906,NA
1907,1.317
1908,1.213
1909,0.92
1910,1.119
1911,0.613
1912,1.324
1913,0.851
1914,0.652
1915,1.288
1916,1.154
1917,0.994
1918,0.908
1919,0.774
1920,1.069
1921,0.82
1922,1.129
1923,1.194
1924,0.961
1925,1.103
1926,1.154
1927,1.004
1928,1.131
1929,1.07
1930,0.992
1931,1.054
1932,1.144
1933,0.747
1934,1.002
1935,1.146
1936,0.618
1937,1.296
1938,1.294
1939,0.794
1940,0.838
1941,0.9
1942,1.192
1943,0.891
1944,0.72
1945,1.144
1946,1.063
1947,0.983
1948,1.052
1949,0.973
1950,1.016
1951,1.041
1952,0.955
1953,0.92
1954,0.801
1955,0.98
1956,0.736
1957,0.942
1958,0.845
1959,0.831
1960,1.343
1961,1.148
1962,1.273
1963,1.016
1964,0.945
1965,1.177
1966,0.901
1967,0.889
1968,0.917
1969,0.878
1970,0.633
1971,0.934
1972,0.668
1973,0.865
1974,1.236
1975,1.467
1976,1.191
1977,1.17
1978,1.201
1979,1.113
1980,1.064
1981,1.072
1982,1.246
1983,0.851
1984,0.953
1985,1.021
1986,0.999
1987,0.956
1988,0.776
1989,1.049
1990,0.7
1991,1.055
1992,1.176
1993,1.022
1994,0.938
1995,0.974
1996,0.906
1997,0.973
1998,1.047
1999,0.963
2000,0.976
2001,1.134
2002,0.949
2003,0.805
2004,0.961
2005,1.048
2006,1.126
2007,0.912
2008,1.051
2009,1.024
2010,1.015
2011,1.005
2012,0.819
2013,1.236
2014,0.842
2015,1.14
2016,NA
2017,NA
2018,NA
2019,NA
