"Year","IN_MMS_ACSA"
1901,NA
1902,NA
1903,NA
1904,NA
1905,NA
1906,NA
1907,0.966
1908,1.06
1909,1.175
1910,0.949
1911,0.837
1912,0.819
1913,0.645
1914,0.82
1915,0.842
1916,1.207
1917,1.204
1918,1.069
1919,0.969
1920,1.096
1921,0.943
1922,0.943
1923,0.981
1924,1.054
1925,1.06
1926,1.039
1927,1.112
1928,1.044
1929,1.075
1930,0.845
1931,0.969
1932,1.023
1933,0.718
1934,0.998
1935,0.912
1936,0.563
1937,1.331
1938,1.434
1939,1.306
1940,0.891
1941,0.914
1942,1.14
1943,0.803
1944,0.651
1945,1.147
1946,0.7
1947,1.057
1948,1.038
1949,1.075
1950,1.079
1951,0.988
1952,0.975
1953,0.968
1954,0.96
1955,1.127
1956,1.005
1957,0.97
1958,1.043
1959,0.712
1960,0.915
1961,0.777
1962,1.096
1963,0.999
1964,1.073
1965,1.24
1966,0.838
1967,0.741
1968,1.145
1969,1.074
1970,0.778
1971,0.916
1972,0.859
1973,0.869
1974,1.047
1975,1.11
1976,1.233
1977,1.072
1978,1.117
1979,1.14
1980,1.089
1981,0.83
1982,1.132
1983,0.839
1984,0.697
1985,1.085
1986,1.186
1987,1.222
1988,0.568
1989,0.972
1990,1.004
1991,0.742
1992,1.257
1993,1.157
1994,0.946
1995,1.132
1996,0.789
1997,0.928
1998,1.214
1999,1.202
2000,0.979
2001,1.255
2002,1.077
2003,1.151
2004,0.919
2005,1.06
2006,0.958
2007,0.743
2008,1.068
2009,1.144
2010,1.174
2011,0.612
2012,0.71
2013,1
2014,0.738
2015,1.255
2016,NA
2017,NA
2018,NA
2019,NA
